1946	Zemřelí muži podle podrobného seznamu příčin smrti a věku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
148a	Toxikosy ve stavu poporodním: eclampsie	x	x	x	x	x	x	x	x	x	x	x	x	x
148b	Toxikosy ve stavu poporodním: albuminurie a zánět ledvin	x	x	x	x	x	x	x	x	x	x	x	x	x
148c	Toxikosy ve stavu poporodním: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x	x
149a	Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení)	x	x	x	x	x	x	x	x	x	x	x	x	x
149b	Jiné příhody porodu: ostatní příhody	x	x	x	x	x	x	x	x	x	x	x	x	x
150	Jiné a blíže neoznačené nemoci porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x	x
														
XII	Nemoci kůže a vaziva podkožního	204	163	5	7	-	-	5	4	9	3	8	-	-
151	Nežitina (furunculosis)	112	102	1	-	-	-	2	-	3	2	2	-	-
152	Zánět podkožního vaziva	30	15	1	1	-	-	2	3	4	-	4	-	-
153	Jiné nemoci kůže a vaziva podkožního	62	46	3	6	-	-	1	1	2	1	2	-	-
														
XIII	Nemoci kostí a ústrojí pohybu	132	9	3	11	6	9	9	14	12	26	26	7	-
154	Zánět dřeně kostní a okostice	69	7	3	10	6	9	6	8	5	8	6	1	-
155	Jiné nemoci kostí	44	2	-	1	-	-	-	2	4	9	20	6	-
156a	Nemoci kloubů a ostatních orgánů pohybu: kloubů	7	-	-	-	-	-	1	1	1	4	-	-	-
156b	Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu	12	-	-	-	-	-	2	3	2	5	-	-	-
														
XIV	Vrozené vady vývojové	393	376	15	2	-	-	-	-	-	-	-	-	-
157a	Vrozené vady vývojové: vrozená vodnatelnost mozku	43	35	7	1	-	-	-	-	-	-	-	-	-
157b	Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová	34	33	-	1	-	-	-	-	-	-	-	-	-
157c	Vrozené vady vývojové: vrozené anomalie tvaru srdce	219	214	5	-	-	-	-	-	-	-	-	-	-
157d	Vrozené vady vývojové: zrůdy	7	7	-	-	-	-	-	-	-	-	-	-	-
157	Vrozené vady vývojové: vrozené zúžení vrátníku	13	13	-	-	-	-	-	-	-	-	-	-	-
157f	Vrozené vady vývojové: rozštěp patra	18	17	1	-	-	-	-	-	-	-	-	-	-
157g	Vrozené vady vývojové: zarostění řiti	3	3	-	-	-	-	-	-	-	-	-	-	-
157h	Vrozené vady vývojové: jiné vady vývojové	53	51	2	-	-	-	-	-	-	-	-	-	-
157i	Vrozené vady vývojové: bez bližšího označení	3	3	-	-	-	-	-	-	-	-	-	-	-
														
XV	Zvláštní nemoci útlého věku	3278	3278	-	-	-	-	-	-	-	-	-	-	-
158	Vrozená slabost dětí donošených	1045	1045	-	-	-	-	-	-	-	-	-	-	-
159	Předčasné narození	1318	1318	-	-	-	-	-	-	-	-	-	-	-
160	Následky porodu	333	333	-	-	-	-	-	-	-	-	-	-	-
161a	Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu	348	348	-	-	-	-	-	-	-	-	-	-	-
161b	Jiné zvláštní nemoci útlého věku: nákazy novorozenců	143	143	-	-	-	-	-	-	-	-	-	-	-
161c	Jiné zvláštní nemoci útlého věku: melaena neonatorum	6	6	-	-	-	-	-	-	-	-	-	-	-
161d	Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců	85	85	-	-	-	-	-	-	-	-	-	-	-
														
XVI	Stařecká sešlost	2670	-	-	-	-	-	-	-	-	394	1515	760	1
162a	Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou	54	-	-	-	-	-	-	-	-	16	25	13	-
162b	Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci	2616	-	-	-	-	-	-	-	-	378	1490	747	1
														
XVII 	Zevní příčiny smrti	4766	48	239	286	848	662	818	736	511	388	192	31	7
SE	Sebevraždy	1427	-	-	4	198	189	263	262	227	178	88	15	3
163a	Sebevražda otravou látkami žíravými	9	-	-	-	-	-	2	3	2	-	1	1	-
163b	Sebevražda otravou léky utišujícími a látkami omamnými	7	-	-	-	2	2	-	3	-	-	-	-	-
163c	Sebevražda otravou léky uspávajícími	2	-	-	-	2	-	-	-	-	-	-	-	-
163d	Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými	21	-	-	-	3	5	4	6	1	2	-	-	-
163	Sebevražda otravou svítiplynem	16	-	-	-	2	5	5	2	2	-	-	-	-
163f	Sebevražda otravou jinými a nerozlišenými jedovatými plyny	7	-	-	-	-	-	3	4	-	-	-	-	-
164a	Jiné sebevraždy oběšením a uškrcením	856	-	-	3	55	81	153	175	157	143	75	14	-
164b	Jiné sebevraždy utopením	48	-	-	-	3	3	8	5	9	15	4	-	1
164c	Jiné sebevraždy střelnými zbraněmi a výbušnými látkami	318	-	-	1	111	67	59	46	25	6	2	-	1
164d	Jiné sebevraždy nástroji řeznými a bodnými	34	-	-	-	3	5	5	6	10	2	3	-	-
164	Jiné sebevraždy skokem s výše	34	-	-	-	7	9	7	3	5	1	2	-	-
164f	Jiné sebevraždy přejetím	60	-	-	-	10	9	12	8	14	6	1	-	-
164g	Ostatní sebevraždy blíže neoznačené	3	-	-	-	-	-	2	1	-	-	-	-	-
164h	Sebevraždy bez bližšího označení	12	-	-	-	-	3	3	-	2	3	-	-	1
NA	Vraždy a zabití	88	9	2	4	19	13	17	16	2	6	-	-	-
165a	Vražda dítěte do 1 roku: zjištěná násilná smrt	8	8	-	-	-	-	-	-	-	-	-	-	-
165b	Vražda dítěte do 1 roku: nalezená mrtvola dítěte	1	1	-	-	-	-	-	-	-	-	-	-	-
166	Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším	58	-	-	2	15	12	10	15	1	3	-	-	-
167	Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším	9	-	1	1	2	1	2	1	-	1	-	-	-
168a	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem	7	-	1	1	-	-	3	-	1	1	-	-	-
168b	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným	5	-	-	-	2	-	2	-	-	1	-	-	-
	Úrazy	3128	39	237	278	626	442	498	416	271	197	104	16	4
DN	Úrazy při dopravě	876	2	46	49	163	174	164	129	76	46	22	4	1
169a	Úrazy způsobené železnicí: poranění zaměstnanců	113	-	-	-	17	38	24	24	8	1	-	-	1
169b	Úrazy způsobené železnicí: ostatních osob	85	-	4	2	19	13	9	12	12	11	3	-	-
170a	Úrazy způsobené motorovými vozidly: při srážce se železnicí	8	-	-	-	1	2	3	1	-	-	1	-	-
170b	Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid	28	-	-	-	6	9	7	4	2	-	-	-	-
170c	Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky	20	-	2	1	2	2	8	1	3	1	-	-	-
170d	Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel	240	-	9	11	52	49	49	33	17	11	7	2	-
170	Úrazy způsobené motorovými vozidly: přejetím	105	1	14	17	18	13	10	13	6	8	4	1	-
170f	Ostatní a blíže neoznačené úrazy motorovými vozidly	149	1	8	14	27	24	32	18	13	7	4	1	-
171a	Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly	4	-	-	-	1	-	1	1	1	-	-	-	-
171b	Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel	66	-	-	1	13	11	11	15	8	5	2	-	-
171c	Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly	29	-	9	1	2	3	1	6	4	2	1	-	-
172a	Úrazy při dopravě po vodě: utonutím pádem do vody a potopením	2	-	-	-	-	-	-	-	2	-	-	-	-
172b	Úrazy při dopravě po vodě: ostatní úrazy	-	-	-	-	-	-	-	-	-	-	-	-	-
173a	Úrazy při dopravě vzduchem: letadly	21	-	-	-	4	9	7	1	-	-	-	-	-
173b	Úrazy při dopravě vzduchem:  kluzáky	2	-	-	-	1	-	1	-	-	-	-	-	-
173c	Úrazy při dopravě vzduchem:  při seskoku padákem	-	-	-	-	-	-	-	-	-	-	-	-	-
173d	Úrazy při dopravě vzduchem:  jiné letecké úrazy	4	-	-	2	-	1	1	-	-	-	-	-	-
174	Úrazy v dolech a lomech	135	-	-	-	14	22	43	41	11	3	1	-	-
175a	Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční	48	-	-	2	6	4	5	12	9	8	2	-	-
175b	Úrazy při zemědělství a lesnictví:  jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-
175c	Úrazy při zemědělství a lesnictví:  ostaními zvířaty	39	-	-	-	4	7	7	10	4	5	2	-	-
175d	Úrazy při zemědělství a lesnictví:  ostatní úrazy	54	-	-	1	6	7	15	14	8	3	-	-	-
176	Úrazy způsobené stroji	33	-	1	2	9	6	5	7	2	-	1	-	-
177a	Otrava potravinami: otrava houbami	3	-	1	-	-	1	-	-	1	-	-	-	-
177b	Otrava ostatními potravinami	4	-	-	1	1	1	-	1	-	-	-	-	-
178a	Vdechování jedovatých plynů: svítiplynu	22	-	2	2	6	7	1	1	1	1	1	-	-
178b	Vdechování ostatních jedovatých plynů	58	3	5	2	12	6	12	8	3	3	4	-	-
179	Jiné prudké otravy, vyjma otravy plynem	69	-	6	3	6	9	19	8	11	5	2	-	-
180	Následky požáru	19	2	3	4	-	-	5	1	-	3	1	-	-
181	Popálení a opaření (nikoliv při požáru)	150	13	68	10	12	9	9	9	11	3	4	2	-
182	Mechanické zadušení	51	12	6	3	7	3	6	7	5	2	-	-	-
183	Utopení	300	5	60	48	105	21	17	12	13	9	10	-	-
184	Poranění střelnými zbraněmi	311	1	10	80	116	45	31	16	9	2	-	-	-
185	Poranění nástroji řeznými a bodnými	10	-	1	1	2	1	-	4	-	1	-	-	-
186a	Poranění pádem, rozdrcením, sřícením: pádem s výše	90	-	4	11	14	7	10	10	14	12	8	-	-
186b	Poranění pádem, rozdrcením, sřícením: rozdrcením	25	1	1	1	1	5	6	8	-	2	-	-	-
186c	Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím	38	-	2	4	1	3	2	6	4	6	9	1	-
187	Poranění při živelných pohromách	1	-	-	-	-	-	1	-	-	-	-	-	-
188	Poranění způsobená zvířaty	16	-	1	3	1	1	2	3	1	4	-	-	-
189	Vyhladovění, žízeň	1	-	-	-	-	-	1	-	-	-	-	-	-
190	Neobvyklá zima	14	-	-	-	1	2	-	3	1	5	2	-	-
191	Neobvyklé teplo	4	-	1	-	1	2	-	-	-	-	-	-	-
192	Poranění bleskem	9	-	-	1	1	2	-	2	1	2	-	-	-
193	Úrazy způsobené elektrickým proudem	83	-	3	13	30	12	16	5	2	1	-	1	-
194	Úrazy způsobené jedovatými zvířaty	1	-	-	-	-	-	-	-	-	1	-	-	-
195	Jiné úrazy nebo zevní příčiny	664	-	16	37	107	85	121	99	84	70	35	8	2
196	Úmrtí vojenských osob při válečných akcích	-	-	-	-	-	-	-	-	-	-	-	-	-
197	Úmrtí civilních osob při válečných akcích	-	-	-	-	-	-	-	-	-	-	-	-	-
198a	Soudní poprava	123	-	-	-	5	18	40	42	11	7	-	-	-
198b	Smrt ve vězení a následky vězení	-	-	-	-	-	-	-	-	-	-	-	-	-
														
XVIII	Neurčité příčiny smrti	388	13	15	6	14	17	34	65	114	69	37	2	2
199	Náhlá smrt	27	3	1	-	-	1	3	3	3	8	5	-	-
200a	Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje	275	6	4	4	9	11	24	48	78	60	29	2	-
200b	Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny	84	4	10	2	5	5	5	14	33	1	3	-	2
200c	Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma	2	-	-	-	-	-	2	-	-	-	-	-	-
