1944	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- těno
XIII	Nemoci kostí a ústrojí pohybu	150	9	8	22	16	9	13	13	14	19	27	-
154	Zánět dřeně kostní a okostice	78	9	6	19	12	8	7	6	5	4	2	-
155	Jiné nemoci kostí	40	-	1	-	1	-	-	1	3	12	22	-
156a	Nemoci kloubů a ostatních orgánů pohybu: kloubů	19	-	1	3	3	-	2	4	3	1	2	-
156b	Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu	13	-	-	-	-	1	4	2	3	2	1	-
													
XIV	Vrozené vady vývojové	273	264	7	2	-	-	-	-	-	-	-	-
157a	Vrozené vady vývojové: vrozená vodnatelnost mozku	30	27	3	-	-	-	-	-	-	-	-	-
157b	Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová	28	28	-	-	-	-	-	-	-	-	-	-
157c	Vrozené vady vývojové: vrozené anomalie tvaru srdce	130	124	4	2	-	-	-	-	-	-	-	-
157d	Vrozené vady vývojové: zrůdy	9	9	-	-	-	-	-	-	-	-	-	-
157	Vrozené vady vývojové: vrozené zúžení vrátníku	13	13	-	-	-	-	-	-	-	-	-	-
157f	Vrozené vady vývojové: rozštěp patra	22	22	-	-	-	-	-	-	-	-	-	-
157g	Vrozené vady vývojové: zarostění řiti	6	6	-	-	-	-	-	-	-	-	-	-
157h	Vrozené vady vývojové: jiné vady vývojové	29	29	-	-	-	-	-	-	-	-	-	-
157i	Vrozené vady vývojové: bez bližšího označení	6	6	-	-	-	-	-	-	-	-	-	-
													
XV	Zvláštní nemoci útlého věku	2562	2562	-	-	-	-	-	-	-	-	-	-
158	Vrozená slabost dětí donošených	775	775	-	-	-	-	-	-	-	-	-	-
159	Předčasné narození	1104	1104	-	-	-	-	-	-	-	-	-	-
160	Následky porodu	280	280	-	-	-	-	-	-	-	-	-	-
161a	Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu	243	243	-	-	-	-	-	-	-	-	-	-
161b	Jiné zvláštní nemoci útlého věku: nákazy novorozenců	85	85	-	-	-	-	-	-	-	-	-	-
161c	Jiné zvláštní nemoci útlého věku: melaena neonatorum	4	4	-	-	-	-	-	-	-	-	-	-
161d	Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců	71	71	-	-	-	-	-	-	-	-	-	-
													
XVI	Stařecká sešlost	2750	-	-	-	-	-	-	-	-	397	2352	1
162a	Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou	63	-	-	-	-	-	-	-	-	15	48	-
162b	Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci	2687	-	-	-	-	-	-	-	-	382	2304	1
													
XVII 	Zevní příčiny smrti	3841	32	155	194	645	623	717	572	364	274	211	54
SE	Sebevraždy	796	-	-	3	80	85	142	140	120	125	99	2
163a	Sebevražda otravou látkami žíravými	7	-	-	-	1	3	1	2	-	-	-	-
163b	Sebevražda otravou léky utišujícími a látkami omamnými	11	-	-	-	2	3	3	1	1	1	-	-
163c	Sebevražda otravou léky uspávajícími	4	-	-	-	1	-	-	2	1	-	-	-
163d	Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými	20	-	-	-	3	2	4	5	3	2	1	-
163	Sebevražda otravou svítiplynem	5	-	-	-	1	1	1	-	-	2	-	-
163f	Sebevražda otravou jinými a nerozlišenými jedovatými plyny	10	-	-	-	1	1	3	2	1	1	1	-
164a	Jiné sebevraždy oběšením a uškrcením	574	-	-	3	49	55	94	99	85	102	86	1
164b	Jiné sebevraždy utopením	39	-	-	-	2	2	5	7	10	7	5	1
164c	Jiné sebevraždy střelnými zbraněmi a výbušnými látkami	30	-	-	-	5	8	8	6	3	-	-	-
164d	Jiné sebevraždy nástroji řeznými a bodnými	21	-	-	-	1	-	4	6	4	4	2	-
164	Jiné sebevraždy skokem s výše	19	-	-	-	1	4	7	1	5	-	1	-
164f	Jiné sebevraždy přejetím	38	-	-	-	12	3	6	6	4	5	2	-
164g	Ostatní sebevraždy blíže neoznačené	7	-	-	-	1	3	2	1	-	-	-	-
164h	Sebevraždy bez bližšího označení	11	-	-	-	-	-	4	2	3	1	1	-
NA	Vraždy a zabití	36	3	1	1	6	9	8	5	2	1	-	-
165a	Vražda dítěte do 1 roku: zjištěná násilná smrt	3	3	-	-	-	-	-	-	-	-	-	-
165b	Vražda dítěte do 1 roku: nalezená mrtvola dítěte	-	-	-	-	-	-	-	-	-	-	-	-
166	Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším	19	-	-	-	1	7	5	5	1	-	-	-
167	Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším	7	-	1	1	-	1	3	-	1	-	-	-
168a	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem	1	-	-	-	-	-	-	-	-	1	-	-
168b	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným	6	-	-	-	5	1	-	-	-	-	-	-
	Úrazy	2469	29	154	190	474	379	414	334	212	146	112	52
DN	Úrazy při dopravě	307	-	7	29	46	46	55	61	22	24	17	-
169a	Úrazy způsobené železnicí: poranění zaměstnanců	74	-	-	1	8	16	21	25	2	1	-	-
169b	Úrazy způsobené železnicí: ostatních osob	81	-	-	7	20	12	10	10	6	8	8	-
170a	Úrazy způsobené motorovými vozidly: při srážce se železnicí	3	-	-	-	-	3	-	-	-	-	-	-
170b	Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid	1	-	-	-	-	-	-	-	-	1	-	-
170c	Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky	1	-	-	-	-	-	1	-	-	-	-	-
170d	Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel	21	-	-	3	5	5	1	5	-	-	2	-
170	Úrazy způsobené motorovými vozidly: přejetím	32	-	5	9	3	1	4	2	2	3	3	-
170f	Ostatní a blíže neoznačené úrazy motorovými vozidly	44	-	-	4	4	5	10	9	5	5	2	-
171a	Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly	7	-	-	-	1	2	2	-	-	1	1	-
171b	Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel	31	-	1	2	5	1	5	8	5	3	1	-
171c	Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly	9	-	1	3	-	1	1	-	1	2	-	-
172a	Úrazy při dopravě po vodě: utonutím pádem do vody a potopením	-	-	-	-	-	-	-	-	-	-	-	-
172b	Úrazy při dopravě po vodě: ostatní úrazy	-	-	-	-	-	-	-	-	-	-	-	-
173a	Úrazy při dopravě vzduchem: letadly	2	-	-	-	-	-	-	1	1	-	-	-
173b	Úrazy při dopravě vzduchem:  kluzáky	-	-	-	-	-	-	-	-	-	-	-	-
173c	Úrazy při dopravě vzduchem:  při seskoku padákem	-	-	-	-	-	-	-	-	-	-	-	-
173d	Úrazy při dopravě vzduchem:  jiné letecké úrazy	1	-	-	-	-	-	-	1	-	-	-	-
174	Úrazy v dolech a lomech	85	-	-	1	16	21	33	12	1	1	-	-
175a	Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční	22	-	-	-	3	1	7	3	4	2	2	-
175b	Úrazy při zemědělství a lesnictví:  jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-
175c	Úrazy při zemědělství a lesnictví:  ostaními zvířaty	19	-	-	1	2	3	5	2	4	1	1	-
175d	Úrazy při zemědělství a lesnictví:  ostatní úrazy	32	-	-	-	4	5	5	5	6	7	-	-
176	Úrazy způsobené stroji	18	-	-	1	4	5	3	3	2	-	-	-
177a	Otrava potravinami: otrava houbami	11	-	-	2	-	2	1	5	1	-	-	-
177b	Otrava ostatními potravinami	5	-	-	-	-	1	1	3	-	-	-	-
178a	Vdechování jedovatých plynů: svítiplynu	5	-	-	1	-	-	-	1	-	2	1	-
178b	Vdechování ostatních jedovatých plynů	30	-	1	4	5	5	4	3	2	2	4	-
179	Jiné prudké otravy, vyjma otravy plynem	49	-	3	1	5	4	19	8	9	-	-	-
180	Následky požáru	4	-	1	-	2	-	1	-	-	-	-	-
181	Popálení a opaření (nikoliv při požáru)	140	10	64	6	16	9	12	7	6	2	8	-
182	Mechanické zadušení	13	4	4	-	1	1	-	1	1	-	1	-
183	Utopení	192	1	29	36	78	17	7	9	8	3	4	-
184	Poranění střelnými zbraněmi	42	-	1	3	12	15	6	3	2	-	-	-
185	Poranění nástroji řeznými a bodnými	5	-	-	-	1	-	1	1	-	2	-	-
186a	Poranění pádem, rozdrcením, sřícením: pádem s výše	54	-	2	3	7	11	7	4	6	5	9	-
186b	Poranění pádem, rozdrcením, sřícením: rozdrcením	8	-	-	-	2	1	1	2	2	-	-	-
186c	Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím	23	-	2	3	1	-	2	5	2	4	4	-
187	Poranění při živelných pohromách	-	-	-	-	-	-	-	-	-	-	-	-
188	Poranění způsobená zvířaty	3	-	1	-	-	1	-	-	-	1	-	-
189	Vyhladovění, žízeň	-	-	-	-	-	-	-	-	-	-	-	-
190	Neobvyklá zima	5	-	-	1	-	-	-	-	1	2	1	-
191	Neobvyklé teplo	3	-	1	1	-	-	1	-	-	-	-	-
192	Poranění bleskem	18	-	-	2	2	4	1	2	3	4	-	-
193	Úrazy způsobené elektrickým proudem	30	-	1	3	6	6	9	-	3	2	-	-
194	Úrazy způsobené jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-
195	Jiné úrazy nebo zevní příčiny	354	1	7	20	46	43	38	65	55	36	43	-
196	Úmrtí vojenských osob při válečných akcích	27	-	-	-	1	6	-	1	-	1	-	18
197	Úmrtí civilních osob při válečných akcích	965	13	30	72	214	172	195	128	72	45	17	7
198a	Soudní poprava	540	-	-	-	85	150	153	93	30	2	-	27
198b	Smrt ve vězení a následky vězení	-	-	-	-	-	-	-	-	-	-	-	-
													
XVIII	Neurčité příčiny smrti	302	9	10	3	12	9	23	46	89	62	39	-
199	Náhlá smrt	26	2	1	-	1	-	1	5	5	9	2	-
200a	Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje	162	2	1	1	4	3	13	28	38	41	31	-
200b	Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny	113	5	8	2	7	5	9	13	46	12	6	-
200c	Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma	1	-	-	-	-	1	-	-	-	-	-	-
