1947	Zemřelé ženy podle podrobného seznamu příčin smrti a věku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
148a	Toxikosy ve stavu poporodním: eclampsie	13	-	-	-	5	5	3	-	-	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánět ledvin	3	-	-	-	-	3	-	-	-	-	-	-	-
148c	Toxikosy ve stavu poporodním: jiné toxikosy	2	-	-	-	-	2	-	-	-	-	-	-	-
149a	Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení)	30	-	-	-	3	14	13	-	-	-	-	-	-
149b	Jiné příhody porodu: ostatní příhody	17	-	-	-	6	8	3	-	-	-	-	-	-
150	Jiné a blíže neoznačené nemoci porodu a stavu poporodního	14	-	-	-	4	1	8	1	-	-	-	-	-
														
XII	Nemoci kůže a vaziva podkožního	123	100	2	-	1	-	3	3	1	5	7	1	-
151	Nežitina (furunculosis)	66	61	-	-	-	-	1	1	-	-	2	1	-
152	Zánět podkožního vaziva	19	11	1	-	-	-	-	1	-	2	4	-	-
153	Jiné nemoci kůže a vaziva podkožního	38	28	1	-	1	-	2	1	1	3	1	-	-
														
XIII	Nemoci kostí a ústrojí pohybu	130	3	2	3	1	1	5	7	11	25	50	22	-
154	Zánět dřeně kostní a okostice	28	3	2	3	-	1	-	3	4	7	4	1	-
155	Jiné nemoci kostí	78	-	-	-	1	-	-	-	3	15	41	18	-
156a	Nemoci kloubů a ostatních orgánů pohybu: kloubů	7	-	-	-	-	-	-	1	1	2	2	1	-
156b	Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu	17	-	-	-	-	-	5	3	3	1	3	2	-
														
XIV	Vrozené vady vývojové	371	352	17	2	-	-	-	-	-	-	-	-	-
157a	Vrozené vady vývojové: vrozená vodnatelnost mozku	39	35	4	-	-	-	-	-	-	-	-	-	-
157b	Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová	30	29	1	-	-	-	-	-	-	-	-	-	-
157c	Vrozené vady vývojové: vrozené anomalie tvaru srdce	227	215	10	2	-	-	-	-	-	-	-	-	-
157d	Vrozené vady vývojové: zrůdy	21	21	-	-	-	-	-	-	-	-	-	-	-
157	Vrozené vady vývojové: vrozené zúžení vrátníku	7	7	-	-	-	-	-	-	-	-	-	-	-
157f	Vrozené vady vývojové: rozštěp patra	10	9	1	-	-	-	-	-	-	-	-	-	-
157g	Vrozené vady vývojové: zarostění řiti	-	-	-	-	-	-	-	-	-	-	-	-	-
157h	Vrozené vady vývojové: jiné vady vývojové	35	34	1	-	-	-	-	-	-	-	-	-	-
157i	Vrozené vady vývojové: bez bližšího označení	2	2	-	-	-	-	-	-	-	-	-	-	-
														
XV	Zvláštní nemoci útlého věku	2279	2279	-	-	-	-	-	-	-	-	-	-	-
158	Vrozená slabost dětí donošených	635	635	-	-	-	-	-	-	-	-	-	-	-
159	Předčasné narození	1021	1021	-	-	-	-	-	-	-	-	-	-	-
160	Následky porodu	239	239	-	-	-	-	-	-	-	-	-	-	-
161a	Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu	236	236	-	-	-	-	-	-	-	-	-	-	-
161b	Jiné zvláštní nemoci útlého věku: nákazy novorozenců	64	64	-	-	-	-	-	-	-	-	-	-	-
161c	Jiné zvláštní nemoci útlého věku: melaena neonatorum	7	7	-	-	-	-	-	-	-	-	-	-	-
161d	Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců	77	77	-	-	-	-	-	-	-	-	-	-	-
														
XVI	Stařecká sešlost	3913	-	-	-	-	-	-	-	-	552	2072	1288	1
162a	Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou	83	-	-	-	-	-	-	-	-	20	42	21	-
162b	Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci	3830	-	-	-	-	-	-	-	-	532	2030	1267	1
														
XVII 	Zevní příčiny smrti	1715	47	135	78	188	177	234	241	207	216	166	24	2
SE	Sebevraždy	663	-	-	1	79	92	130	137	93	73	54	3	1
163a	Sebevražda otravou látkami žíravými	15	-	-	-	2	3	6	1	2	1	-	-	-
163b	Sebevražda otravou léky utišujícími a látkami omamnými	26	-	-	-	3	7	5	8	3	-	-	-	-
163c	Sebevražda otravou léky uspávajícími	6	-	-	-	1	2	1	1	-	-	1	-	-
163d	Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými	53	-	-	-	19	11	8	10	4	1	-	-	-
163	Sebevražda otravou svítiplynem	46	-	-	1	7	11	9	10	2	3	3	-	-
163f	Sebevražda otravou jinými a nerozlišenými jedovatými plyny	27	-	-	-	5	7	5	9	1	-	-	-	-
164a	Jiné sebevraždy oběšením a uškrcením	305	-	-	-	11	25	60	70	58	46	32	2	1
164b	Jiné sebevraždy utopením	85	-	-	-	9	8	18	12	12	13	13	-	-
164c	Jiné sebevraždy střelnými zbraněmi a výbušnými látkami	24	-	-	-	9	9	5	1	-	-	-	-	-
164d	Jiné sebevraždy nástroji řeznými a bodnými	16	-	-	-	1	2	3	4	2	1	2	1	-
164	Jiné sebevraždy skokem s výše	27	-	-	-	4	4	5	6	2	4	2	-	-
164f	Jiné sebevraždy přejetím	21	-	-	-	8	1	3	2	3	3	1	-	-
164g	Ostatní sebevraždy blíže neoznačené	3	-	-	-	-	-	-	2	1	-	-	-	-
164h	Sebevraždy bez bližšího označení	9	-	-	-	-	2	2	1	3	1	-	-	-
NA	Vraždy a zabití	59	8	1	4	13	5	10	5	6	5	1	1	-
165a	Vražda dítěte do 1 roku: zjištěná násilná smrt	8	8	-	-	-	-	-	-	-	-	-	-	-
165b	Vražda dítěte do 1 roku: nalezená mrtvola dítěte	-	-	-	-	-	-	-	-	-	-	-	-	-
166	Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším	26	-	-	2	11	4	5	4	-	-	-	-	-
167	Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším	7	-	-	-	1	1	1	-	2	2	-	-	-
168a	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem	15	-	1	2	-	-	3	1	3	3	1	1	-
168b	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným	3	-	-	-	1	-	1	-	1	-	-	-	-
	Úrazy	986	39	134	73	95	77	93	98	107	138	111	20	1
DN	Úrazy při dopravě	223	3	18	30	32	24	27	25	20	32	11	1	-
169a	Úrazy způsobené železnicí: poranění zaměstnanců	1	-	-	-	-	-	1	-	-	-	-	-	-
169b	Úrazy způsobené železnicí: ostatních osob	43	-	2	3	8	5	5	6	3	9	1	1	-
170a	Úrazy způsobené motorovými vozidly: při srážce se železnicí	10	-	-	1	3	1	2	2	1	-	-	-	-
170b	Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid	7	-	-	-	3	1	1	2	-	-	-	-	-
170c	Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky	1	-	1	-	-	-	-	-	-	-	-	-	-
170d	Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel	38	-	-	2	7	6	5	5	5	6	2	-	-
170	Úrazy způsobené motorovými vozidly: přejetím	36	-	9	12	2	1	2	5	-	4	1	-	-
170f	Ostatní a blíže neoznačené úrazy motorovými vozidly	42	3	1	5	4	3	5	3	8	6	4	-	-
171a	Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly	17	-	1	1	2	5	2	1	2	2	1	-	-
171b	Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel	16	-	1	3	3	1	3	1	1	3	-	-	-
171c	Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly	10	-	3	2	-	-	1	-	-	2	2	-	-
172a	Úrazy při dopravě po vodě: utonutím pádem do vody a potopením	-	-	-	-	-	-	-	-	-	-	-	-	-
172b	Úrazy při dopravě po vodě: ostatní úrazy	-	-	-	-	-	-	-	-	-	-	-	-	-
173a	Úrazy při dopravě vzduchem: letadly	1	-	-	-	-	1	-	-	-	-	-	-	-
173b	Úrazy při dopravě vzduchem:  kluzáky	-	-	-	-	-	-	-	-	-	-	-	-	-
173c	Úrazy při dopravě vzduchem:  při seskoku padákem	-	-	-	-	-	-	-	-	-	-	-	-	-
173d	Úrazy při dopravě vzduchem:  jiné letecké úrazy	1	-	-	1	-	-	-	-	-	-	-	-	-
174	Úrazy v dolech a lomech	2	-	-	-	1	-	-	-	1	-	-	-	-
175a	Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční	6	-	-	1	1	1	1	-	1	-	1	-	-
175b	Úrazy při zemědělství a lesnictví:  jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-
175c	Úrazy při zemědělství a lesnictví:  ostaními zvířaty	6	-	-	-	1	1	-	-	2	2	-	-	-
175d	Úrazy při zemědělství a lesnictví:  ostatní úrazy	14	-	-	-	1	-	5	3	2	3	-	-	-
176	Úrazy způsobené stroji	2	-	-	-	-	2	-	-	-	-	-	-	-
177a	Otrava potravinami: otrava houbami	1	1	-	-	-	-	-	-	-	-	-	-	-
177b	Otrava ostatními potravinami	4	-	-	-	1	-	-	2	1	-	-	-	-
178a	Vdechování jedovatých plynů: svítiplynu	15	-	-	-	7	2	1	1	-	3	1	-	-
178b	Vdechování ostatních jedovatých plynů	40	2	3	2	1	2	5	6	1	9	7	2	-
179	Jiné prudké otravy, vyjma otravy plynem	23	-	3	-	6	2	5	4	2	-	1	-	-
180	Následky požáru	15	1	-	-	-	2	2	6	1	1	-	2	-
181	Popálení a opaření (nikoliv při požáru)	125	8	43	4	3	5	6	7	10	16	19	4	-
182	Mechanické zadušení	37	18	4	1	2	2	5	-	1	3	1	-	-
183	Utopení	101	4	37	12	15	7	5	5	4	6	6	-	-
184	Poranění střelnými zbraněmi	22	-	3	9	3	3	1	1	2	-	-	-	-
185	Poranění nástroji řeznými a bodnými	5	-	2	2	-	-	-	-	1	-	-	-	-
186a	Poranění pádem, rozdrcením, sřícením: pádem s výše	32	-	3	1	1	1	4	2	7	6	7	-	-
186b	Poranění pádem, rozdrcením, sřícením: rozdrcením	2	-	-	-	-	-	1	-	-	1	-	-	-
186c	Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím	28	-	-	-	-	-	3	4	4	9	7	1	-
187	Poranění při živelných pohromách	6	-	-	-	-	-	-	-	1	1	4	-	-
188	Poranění způsobená zvířaty	5	-	1	-	-	-	1	-	-	2	1	-	-
189	Vyhladovění, žízeň	1	-	-	-	-	-	-	1	-	-	-	-	-
190	Neobvyklá zima	9	-	-	-	1	1	-	2	2	3	-	-	-
191	Neobvyklé teplo	3	-	-	-	-	-	-	-	-	2	1	-	-
192	Poranění bleskem	10	-	-	1	1	-	3	3	2	-	-	-	-
193	Úrazy způsobené elektrickým proudem	13	1	2	3	3	-	3	-	1	-	-	-	-
194	Úrazy způsobené jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-
195	Jiné úrazy nebo zevní příčiny	236	1	15	7	15	22	15	26	41	39	44	10	1
196	Úmrtí vojenských osob při válečných akcích	-	-	-	-	-	-	-	-	-	-	-	-	-
197	Úmrtí civilních osob při válečných akcích	-	-	-	-	-	-	-	-	-	-	-	-	-
198a	Soudní poprava	7	-	-	-	1	3	1	1	1	-	-	-	-
198b	Smrt ve vězení a následky vězení	-	-	-	-	-	-	-	-	-	-	-	-	-
														
XVIII	Neurčité příčiny smrti	288	6	12	5	8	14	17	33	96	53	39	5	-
199	Náhlá smrt	12	1	-	-	-	1	1	1	2	3	3	-	-
200a	Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje	183	2	6	4	5	10	11	24	42	43	32	4	-
200b	Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny	93	3	6	1	3	3	5	8	52	7	4	1	-
200c	Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma	-	-	-	-	-	-	-	-	-	-	-	-	-
