1945	Zemřelé ženy podle podrobného seznamu příčin smrti a věku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- těno
XIII	Nemoci kostí a ústrojí pohybu	172	3	3	11	11	-	5	7	19	33	79	1
154	Zánět dřeně kostní a okostice	36	2	2	10	8	-	-	3	2	7	2	-
155	Jiné nemoci kostí	103	-	1	-	-	-	2	-	7	19	73	1
156a	Nemoci kloubů a ostatních orgánů pohybu: kloubů	18	1	-	1	-	-	-	1	5	7	3	-
156b	Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu	15	-	-	-	3	-	3	3	5	-	1	-
													
XIV	Vrozené vady vývojové	268	252	13	2	-	-	-	-	-	-	-	1
157a	Vrozené vady vývojové: vrozená vodnatelnost mozku	23	20	3	-	-	-	-	-	-	-	-	-
157b	Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová	34	33	-	-	-	-	-	-	-	-	-	1
157c	Vrozené vady vývojové: vrozené anomalie tvaru srdce	159	148	9	2	-	-	-	-	-	-	-	-
157d	Vrozené vady vývojové: zrůdy	8	8	-	-	-	-	-	-	-	-	-	-
157	Vrozené vady vývojové: vrozené zúžení vrátníku	8	8	-	-	-	-	-	-	-	-	-	-
157f	Vrozené vady vývojové: rozštěp patra	14	14	-	-	-	-	-	-	-	-	-	-
157g	Vrozené vady vývojové: zarostění řiti	-	-	-	-	-	-	-	-	-	-	-	-
157h	Vrozené vady vývojové: jiné vady vývojové	19	18	1	-	-	-	-	-	-	-	-	-
157i	Vrozené vady vývojové: bez bližšího označení	3	3	-	-	-	-	-	-	-	-	-	-
													
XV	Zvláštní nemoci útlého věku	2177	2177	-	-	-	-	-	-	-	-	-	-
158	Vrozená slabost dětí donošených	779	779	-	-	-	-	-	-	-	-	-	-
159	Předčasné narození	863	863	-	-	-	-	-	-	-	-	-	-
160	Následky porodu	197	197	-	-	-	-	-	-	-	-	-	-
161a	Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu	191	191	-	-	-	-	-	-	-	-	-	-
161b	Jiné zvláštní nemoci útlého věku: nákazy novorozenců	97	97	-	-	-	-	-	-	-	-	-	-
161c	Jiné zvláštní nemoci útlého věku: melaena neonatorum	4	4	-	-	-	-	-	-	-	-	-	-
161d	Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců	46	46	-	-	-	-	-	-	-	-	-	-
													
XVI	Stařecká sešlost	4943	-	-	-	-	-	-	-	-	785	4146	12
162a	Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou	92	-	-	-	-	-	-	-	-	22	70	-
162b	Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci	4851	-	-	-	-	-	-	-	-	763	4076	12
													
XVII 	Zevní příčiny smrti	5265	58	243	396	733	569	876	820	656	506	318	90
SE	Sebevraždy	879	-	-	1	80	97	180	209	148	93	56	15
163a	Sebevražda otravou látkami žíravými	17	-	-	-	6	1	2	3	4	1	-	-
163b	Sebevražda otravou léky utišujícími a látkami omamnými	43	-	-	-	9	7	8	11	6	2	-	-
163c	Sebevražda otravou léky uspávajícími	18	-	-	-	-	2	6	5	4	1	-	-
163d	Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými	71	-	-	-	14	15	12	19	7	3	-	1
163	Sebevražda otravou svítiplynem	27	-	-	1	1	5	6	7	4	1	2	-
163f	Sebevražda otravou jinými a nerozlišenými jedovatými plyny	27	-	-	-	1	3	6	8	6	2	1	-
164a	Jiné sebevraždy oběšením a uškrcením	415	-	-	-	16	31	96	99	82	58	30	3
164b	Jiné sebevraždy utopením	100	-	-	-	7	6	15	24	14	13	14	7
164c	Jiné sebevraždy střelnými zbraněmi a výbušnými látkami	33	-	-	-	13	9	3	4	1	-	-	3
164d	Jiné sebevraždy nástroji řeznými a bodnými	27	-	-	-	2	2	6	6	5	4	2	-
164	Jiné sebevraždy skokem s výše	36	-	-	-	2	5	8	10	6	2	3	-
164f	Jiné sebevraždy přejetím	31	-	-	-	7	7	6	4	3	3	1	-
164g	Ostatní sebevraždy blíže neoznačené	9	-	-	-	-	2	1	4	1	1	-	-
164h	Sebevraždy bez bližšího označení	25	-	-	-	2	2	5	5	5	2	3	1
NA	Vraždy a zabití	96	4	2	6	25	10	19	10	7	10	2	1
165a	Vražda dítěte do 1 roku: zjištěná násilná smrt	4	4	-	-	-	-	-	-	-	-	-	-
165b	Vražda dítěte do 1 roku: nalezená mrtvola dítěte	-	-	-	-	-	-	-	-	-	-	-	-
166	Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším	54	-	1	-	21	7	13	5	2	3	1	1
167	Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším	7	-	-	1	-	2	1	1	1	1	-	-
168a	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem	21	-	1	5	3	-	3	3	1	4	1	-
168b	Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným	10	-	-	-	1	1	2	1	3	2	-	-
	Úrazy	1236	21	116	119	159	95	121	144	141	159	151	10
DN	Úrazy při dopravě	302	3	14	32	50	23	41	44	33	43	18	1
169a	Úrazy způsobené železnicí: poranění zaměstnanců	3	-	-	-	1	1	1	-	-	-	-	-
169b	Úrazy způsobené železnicí: ostatních osob	71	1	-	3	17	8	11	11	9	7	4	-
170a	Úrazy způsobené motorovými vozidly: při srážce se železnicí	3	-	-	-	2	-	1	-	-	-	-	-
170b	Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid	4	-	-	1	1	-	1	1	-	-	-	-
170c	Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky	1	-	-	-	1	-	-	-	-	-	-	-
170d	Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel	66	1	1	4	7	5	10	16	8	10	4	-
170	Úrazy způsobené motorovými vozidly: přejetím	72	-	7	9	10	3	5	10	7	16	5	-
170f	Ostatní a blíže neoznačené úrazy motorovými vozidly	51	-	3	12	7	2	9	4	4	6	3	1
171a	Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly	2	-	-	-	1	-	-	1	-	-	-	-
171b	Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel	15	1	1	1	2	-	2	-	3	4	1	-
171c	Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly	10	-	2	2	-	1	1	1	2	-	1	-
172a	Úrazy při dopravě po vodě: utonutím pádem do vody a potopením	-	-	-	-	-	-	-	-	-	-	-	-
172b	Úrazy při dopravě po vodě: ostatní úrazy	3	-	-	-	-	3	-	-	-	-	-	-
173a	Úrazy při dopravě vzduchem: letadly	-	-	-	-	-	-	-	-	-	-	-	-
173b	Úrazy při dopravě vzduchem:  kluzáky	-	-	-	-	-	-	-	-	-	-	-	-
173c	Úrazy při dopravě vzduchem:  při seskoku padákem	-	-	-	-	-	-	-	-	-	-	-	-
173d	Úrazy při dopravě vzduchem:  jiné letecké úrazy	1	-	-	-	1	-	-	-	-	-	-	-
174	Úrazy v dolech a lomech	3	-	-	-	-	-	2	1	-	-	-	-
175a	Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční	6	-	-	-	2	-	1	1	1	1	-	-
175b	Úrazy při zemědělství a lesnictví:  jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-
175c	Úrazy při zemědělství a lesnictví:  ostaními zvířaty	3	-	-	-	-	-	-	1	-	1	1	-
175d	Úrazy při zemědělství a lesnictví:  ostatní úrazy	3	-	-	-	-	-	1	1	-	-	1	-
176	Úrazy způsobené stroji	3	-	-	-	-	-	1	2	-	-	-	-
177a	Otrava potravinami: otrava houbami	8	-	-	2	2	1	1	1	1	-	-	-
177b	Otrava ostatními potravinami	5	-	-	1	-	2	2	-	-	-	-	-
178a	Vdechování jedovatých plynů: svítiplynu	17	-	-	-	2	4	-	-	4	3	4	-
178b	Vdechování ostatních jedovatých plynů	24	-	-	1	4	4	2	3	1	3	6	-
179	Jiné prudké otravy, vyjma otravy plynem	33	-	2	-	3	6	3	9	2	4	2	2
180	Následky požáru	9	-	-	-	-	-	-	-	2	2	5	-
181	Popálení a opaření (nikoliv při požáru)	113	9	36	9	9	11	6	8	8	6	11	-
182	Mechanické zadušení	19	6	3	1	1	1	-	3	1	3	-	-
183	Utopení	84	-	35	13	7	2	5	-	4	5	10	3
184	Poranění střelnými zbraněmi	195	1	11	41	50	17	15	31	15	10	2	2
185	Poranění nástroji řeznými a bodnými	4	-	-	-	-	1	2	-	1	-	-	-
186a	Poranění pádem, rozdrcením, sřícením: pádem s výše	34	-	1	1	-	4	-	3	9	11	5	-
186b	Poranění pádem, rozdrcením, sřícením: rozdrcením	9	-	1	1	1	1	1	1	1	1	1	-
186c	Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím	20	1	-	-	-	-	-	-	1	8	10	-
187	Poranění při živelných pohromách	1	-	-	-	-	-	-	1	-	-	-	-
188	Poranění způsobená zvířaty	1	-	-	1	-	-	-	-	-	-	-	-
189	Vyhladovění, žízeň	-	-	-	-	-	-	-	-	-	-	-	-
190	Neobvyklá zima	9	-	-	-	-	1	-	2	2	2	2	-
191	Neobvyklé teplo	1	-	-	-	-	-	-	1	-	-	-	-
192	Poranění bleskem	7	-	-	1	2	-	-	-	2	1	1	-
193	Úrazy způsobené elektrickým proudem	18	1	-	2	6	1	2	4	1	1	-	-
194	Úrazy způsobené jedovatými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-
195	Jiné úrazy nebo zevní příčiny	305	-	13	13	20	16	36	27	52	54	72	2
196	Úmrtí vojenských osob při válečných akcích	6	-	-	-	-	5	-	-	-	1	-	-
197	Úmrtí civilních osob při válečných akcích	3006	33	125	269	466	354	543	444	356	243	109	64
198a	Soudní poprava	37	-	-	-	1	6	13	13	4	-	-	-
198b	Smrt ve vězení a následky vězení	5	-	-	1	2	2	-	-	-	-	-	-
													
XVIII	Neurčité příčiny smrti	511	3	25	11	16	29	35	71	138	101	59	23
199	Náhlá smrt	11	-	-	-	-	1	2	2	1	-	5	-
200a	Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje	260	1	4	4	7	6	18	33	61	83	42	1
200b	Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny	236	2	21	7	9	22	15	36	76	18	12	18
200c	Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma	4	-	-	-	-	-	-	-	-	-	-	4
