1964,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,10 046,5,6,2,3,10,33,27,29,37,46,95,152,323,311,773,1 076,1 398,1 629,1 576,1 337,794,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Zhoubný novotvar rtu,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Zhoubný novotvar jazyka,14,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,3,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Zhoubný novotvar slinných žláz,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Zhoubný novotvar spodiny ústní,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Zhoubný novotvar jiných částí úst a zhoubný novotvar neurčené části dutiny ústní,20,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,1,1,2,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Zhoubný novotvar ústní částí hltanu a mandlí,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Zhoubný novotvar nosohltanu,9,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,1,-,1,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Zhoubný novotvar hrtanové části hltanu,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Zhoubný novotvar neurčené části hltanu,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Zhoubný novotvar jícnu,53,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,7,5,7,6,17,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Zhoubný novotvar žaludku,1 961,-,-,-,-,-,-,-,1,3,3,5,13,21,43,81,159,251,347,392,327,232,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Zhoubný novotvar tenkého střeva a dvanácterníku,28,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,2,6,7,6,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Zhoubný novotvar tlustého střeva vyjma konečníku,535,-,-,-,-,-,-,-,-,-,-,1,1,11,12,39,49,60,90,93,87,53,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Zhoubný novotvar konečníku,434,-,-,-,-,-,-,-,-,-,-,1,3,9,8,31,49,55,83,79,65,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Zhoubný novotvar žlučových cest a jater (určený jako primární),947,-,1,-,-,-,-,-,-,-,-,2,2,12,9,46,94,136,195,182,143,87,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Zhoubný novotvar jater (sekundární nebo neurčený),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Zhoubný novotvar slinivky břišní,363,-,-,-,-,-,-,-,-,-,1,2,-,4,10,14,33,74,77,67,43,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Zhoubný novotvar pobřišnice,72,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,10,9,18,12,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Zhoubný novotvar neurčené části trávicího ústrojí,228,-,-,-,-,-,-,-,-,1,-,1,-,3,3,8,21,29,37,39,45,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Zhoubný novotvar nosu, dutiny nosní, středního ucha a vedlejších dutin",11,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Zhoubný novotvar hrtanu,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,3,2,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Zhoubný novotvar průdušnice, průdušek, plic, určený jako primární",482,-,-,-,-,-,1,-,-,1,3,4,5,15,9,33,38,81,84,83,74,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Zhoubný novotvar plic a průdušek, neurčený jako primární nebo sekundární",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Zhoubný novotvar mezihrudí,16,-,-,-,-,-,-,-,1,1,-,2,1,-,-,-,1,4,2,-,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Zhoubný novotvar hrudních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Zhoubný novotvar prsů,1 128,-,-,-,-,-,-,-,-,1,2,9,30,66,55,154,158,164,153,129,107,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Zhoubný novotvar hrdla děložního,509,-,-,-,-,-,-,-,-,-,5,11,30,48,33,67,82,56,58,52,33,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Zhoubný novotvar těla děložního,118,-,-,-,-,-,-,-,-,-,-,1,1,3,3,7,20,20,20,22,16,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Zhoubný novotvar jiných částí dělohy a chorioepitheliom,14,-,-,-,-,-,-,-,1,2,1,1,-,1,-,1,1,-,2,1,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Zhoubný novotvar neurčené části dělohy,338,-,-,-,-,1,-,-,-,-,1,1,5,12,21,32,43,50,53,45,48,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Zhoubný novotvar vaječníku, vejcovodu, širokého vazu",577,-,-,1,-,-,-,-,1,2,3,7,6,32,36,81,88,103,81,57,49,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Zhoubný novotvar jiných nebo blíže neurčených ženských orgánů pohlavních,162,-,-,-,-,-,-,-,-,-,-,2,3,6,4,9,15,23,21,28,21,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Zhoubný novotvar varlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Zhoubný novotvar jiných nebo blíže neurčených mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Zhoubný novotvar ledvin,179,-,1,-,1,1,4,-,-,-,1,1,3,5,6,15,26,29,30,36,13,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Zhoubný novotvar močového měchýře a ostatních močových orgánů,145,-,-,-,-,-,-,-,-,-,-,1,1,2,2,5,4,19,21,29,31,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Zhoubný melanom kůže,45,-,-,-,-,-,-,-,-,1,2,1,4,5,3,5,5,4,3,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Ostatní zhoubné novotvary kůže,91,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,3,6,9,7,18,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Zhoubný novotvar oka,8,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,1,1,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Zhoubný novotvar mozku a jiných částí ústrojí nervového,177,-,-,-,-,-,8,5,5,5,9,8,8,17,9,18,26,23,16,9,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Zhoubný novotvar štítné žlázy,78,-,-,-,-,-,-,-,-,-,-,1,1,1,4,8,6,11,12,13,13,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Zhoubný novotvar ostatních žláz s vnitřní sekrecí,21,1,-,-,-,-,-,-,1,-,-,-,1,1,1,6,2,2,2,1,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Zhoubný novotvar kostí (i čelistí),91,-,-,-,-,-,-,3,6,1,1,1,4,1,1,4,11,10,12,17,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Zhoubný novotvar pojiva,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Zsekundární nebo blíže neurčené zhoubné novotvary mízních uzlin,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Zhoubný novotvar jiného nebo blíže neurčeného umístění,339,1,1,-,1,-,1,1,-,1,1,3,4,6,8,19,37,42,57,60,55,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Lymfosarkom a retikulosarkom,122,-,1,-,-,1,3,2,2,4,3,5,-,6,2,4,13,21,19,19,12,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Hodgkinova nemoc,114,-,-,-,-,-,1,2,4,7,4,10,8,3,5,9,8,12,15,11,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Jiné druhy lymfomů,23,-,1,-,-,1,-,-,-,-,-,-,-,1,-,4,2,5,4,3,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Mnohočetný myelom,73,-,-,-,-,-,-,1,-,-,-,-,1,2,2,5,7,16,13,12,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Leukaemie a aleukie,305,-,1,1,-,6,9,10,7,3,3,8,12,12,7,24,27,49,46,35,29,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Mycosis fungoides,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Nezhoubný novotvar dutiny ústní a hltanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Nezhoubný novotvar ostatních částí trávicího ústrojí,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Nezhoubný novotvar dýchacího ústrojí,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Nezhoubný novotvar prsů,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Fibromyom dělohy,10,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Ostatní nezhoubné novotvary dělohy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Nezhoubný novotvar vaječníku,7,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,1,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Nezhoubný novotvar ostatních ženských pohlavních orgánů,3,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Nezhoubný novotvar ledvin a močových cest,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Nezhoubný melanom kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Pilonidální cysta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Ostatní nezhoubné novotvary kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Nezhoubný novotvar mozku a jiných částí ústrojí nervového,40,-,-,-,-,-,4,-,-,-,1,-,-,3,1,7,5,5,8,5,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Nezhoubný novotvar žláz s vnitřní sekrecí,7,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,2,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Nezhoubný novotvar kostí a chrupek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Lipom,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Jiné nezhoubné novotvary svalů a vaziva,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Haemangiom,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Nezhoubné novotvary ostatních nebo blíže neurčených orgánů a tkání,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Novotvar neurčené povahy trávicího ústrojí,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Novotvar neurčené povahy dýchacího ústrojí,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Novotvar neurčené povahy prsů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Novotvar neurčené povahy dělohy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Novotvar neurčené povahy vaječníků,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Novotvar neurčené povahy ostatních ženských pohlavních orgánů,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Novotvar neurčené povahy jiných pohlavních a močových orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Novotvar neurčené povahy mozku a jiných částí ústrojí nervového,37,-,-,-,-,-,2,1,-,1,1,1,1,4,-,9,7,3,4,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Novotvar neurčené povahy kůže,soustavy svalové a kosterní",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Novotvar neurčené povahy ostatních nebo blíže neurčených orgánů,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,"Nemoci allergické, žláz s vnitřní sekrecí, výměny látkové a výživy",1 795,14,3,-,2,1,2,1,5,3,6,4,4,13,17,59,123,242,369,435,295,149,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Senná rýma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Astma,97,-,1,-,-,-,-,-,-,1,1,-,-,2,1,5,5,9,12,16,20,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Angioneurotický oedem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Kopřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Allergický ekzém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Ostatní allergické poruchy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Vole prosté,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Vole uzlovité netoxické,13,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Thyreotoxikosa s voletem nebo bez něho,99,-,-,-,-,-,-,-,-,1,-,-,-,2,-,8,11,14,21,19,13,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Myxoedema a kretenismus,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Ostatní nemoci štítné žlázy,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,3,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Úplavice cukrová,1 493,-,-,-,1,-,-,-,2,1,5,2,1,7,12,39,92,206,326,392,253,117,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Poruchy vnitřní sekrece slinivky břišní-jiné než úplavice cukrová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Nemoci příštítných tělísek,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Nemoci hypofysy,11,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,4,1,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Nemoci brzlíku,12,10,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Nemoci nadledvinek,24,3,1,-,1,-,1,-,-,-,-,-,3,-,1,3,5,2,-,1,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Poruchy činnosti vaječníků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Poruchy činnosti varlat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Poruchy činnosti několika žláz s vnitřní sekrecí a ostatní nemoci žláz s vnitřní sekrecí,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Beri-Beri,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Aktivní křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Pozdní následky křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Jiné avitaminosy a stavy z nedostatku výživy,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,"Otylost, není-li vnitřně sekretorického původu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Dna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Ostatní nemoci výměny látkové,14,1,-,-,-,-,1,1,-,-,-,-,-,-,2,1,3,-,2,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Nemoci krve a krvotvorné tkáně,156,2,1,1,-,-,-,-,1,1,2,1,3,6,-,6,12,7,28,21,27,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Zhoubná chudokrevnost a ostatní hyperchromní anemie,53,-,-,-,-,-,-,-,1,-,-,-,1,1,-,1,-,3,5,11,12,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Chudokrevnost z nedostatku železa,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
