1942,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
XII,Nemoci kůže a vaziva podkožního,212,159,5,-,4,3,7,8,6,13,7,-
151,Nežitina (furunculosis),124,96,1,-,3,1,3,7,2,7,4,-
152,Zánět podkožního vaziva,34,18,-,-,-,2,4,-,4,4,2,-
153,Jiné nemoci kůže a vaziva podkožního,54,45,4,-,1,-,-,1,-,2,1,-
,,,,,,,,,,,,,
XIII,Nemoci kostí a ústrojí pohybu,163,13,4,35,11,7,9,18,14,25,27,-
154,Zánět dřeně kostní a okostice,88,11,3,28,9,3,5,10,9,5,5,-
155,Jiné nemoci kostí,38,-,1,-,-,-,-,2,3,14,18,-
156a,Nemoci kloubů a ostatních orgánů pohybu: kloubů,22,2,-,7,2,2,2,3,1,2,1,-
156b,Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu,15,-,-,-,-,2,2,3,1,4,3,-
,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,252,230,15,5,2,-,-,-,-,-,-,-
157a,Vrozené vady vývojové: vrozená vodnatelnost mozku,22,15,6,1,-,-,-,-,-,-,-,-
157b,Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová,18,18,-,-,-,-,-,-,-,-,-,-
157c,Vrozené vady vývojové: vrozené anomalie tvaru srdce,139,126,8,3,2,-,-,-,-,-,-,-
157d,Vrozené vady vývojové: zrůdy,1,1,-,-,-,-,-,-,-,-,-,-
157,Vrozené vady vývojové: vrozené zúžení vrátníku,5,5,-,-,-,-,-,-,-,-,-,-
157f,Vrozené vady vývojové: rozštěp patra,20,20,-,-,-,-,-,-,-,-,-,-
157g,Vrozené vady vývojové: zarostění řiti,6,6,-,-,-,-,-,-,-,-,-,-
157h,Vrozené vady vývojové: jiné vady vývojové,35,33,1,1,-,-,-,-,-,-,-,-
157i,Vrozené vady vývojové: bez bližšího označení,6,6,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2482,2482,-,-,-,-,-,-,-,-,-,-
158,Vrozená slabost dětí donošených,682,682,-,-,-,-,-,-,-,-,-,-
159,Předčasné narození,1149,1149,-,-,-,-,-,-,-,-,-,-
160,Následky porodu,256,256,-,-,-,-,-,-,-,-,-,-
161a,Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu,221,221,-,-,-,-,-,-,-,-,-,-
161b,Jiné zvláštní nemoci útlého věku: nákazy novorozenců,127,127,-,-,-,-,-,-,-,-,-,-
161c,Jiné zvláštní nemoci útlého věku: melaena neonatorum,2,2,-,-,-,-,-,-,-,-,-,-
161d,Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců,45,45,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVI,Stařecká sešlost,2597,-,-,-,-,-,-,-,-,404,2193,-
162a,Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou,81,-,-,-,-,-,-,-,-,19,62,-
162b,Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci,2516,-,-,-,-,-,-,-,-,385,2131,-
,,,,,,,,,,,,,
XVII ,Zevní příčiny smrti,4011,24,125,119,432,703,948,682,433,317,228,-
SE,Sebevraždy,995,-,-,7,95,129,178,141,149,156,140,-
163a,Sebevražda otravou látkami žíravými,9,-,-,-,1,3,-,1,1,2,1,-
163b,Sebevražda otravou léky utišujícími a látkami omamnými,21,-,-,-,-,1,1,3,7,7,2,-
163c,Sebevražda otravou léky uspávajícími,11,-,-,-,-,-,2,2,2,3,2,-
163d,Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými,33,-,-,-,3,3,8,5,4,7,3,-
163,Sebevražda otravou svítiplynem,6,-,-,-,-,1,4,1,-,-,-,-
163f,Sebevražda otravou jinými a nerozlišenými jedovatými plyny,13,-,-,-,-,-,1,4,1,4,3,-
164a,Jiné sebevraždy oběšením a uškrcením,694,-,-,6,53,83,116,99,108,113,116,-
164b,Jiné sebevraždy utopením,30,-,-,1,2,3,6,4,3,6,5,-
164c,Jiné sebevraždy střelnými zbraněmi a výbušnými látkami,45,-,-,-,4,13,15,6,6,1,-,-
164d,Jiné sebevraždy nástroji řeznými a bodnými,28,-,-,-,-,4,8,3,6,4,3,-
164,Jiné sebevraždy skokem s výše,19,-,-,-,5,2,3,5,2,2,-,-
164f,Jiné sebevraždy přejetím,61,-,-,-,25,11,9,3,5,4,4,-
164g,Ostatní sebevraždy blíže neoznačené,5,-,-,-,1,2,1,1,-,-,-,-
164h,Sebevraždy bez bližšího označení,20,-,-,-,1,3,4,4,4,3,1,-
NA,Vraždy a zabití,19,6,1,1,2,2,2,2,2,1,-,-
165a,Vražda dítěte do 1 roku: zjištěná násilná smrt,6,6,-,-,-,-,-,-,-,-,-,-
165b,Vražda dítěte do 1 roku: nalezená mrtvola dítěte,-,-,-,-,-,-,-,-,-,-,-,-
166,Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším,5,-,-,-,1,2,1,-,1,-,-,-
167,Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším,2,-,-,-,1,-,-,1,-,-,-,-
168a,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem,4,-,1,1,-,-,-,-,1,1,-,-
168b,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným,2,-,-,-,-,-,1,1,-,-,-,-
,Úrazy,1416,18,124,111,212,208,236,160,134,126,87,-
DN,Úrazy při dopravě,288,-,12,18,48,43,59,45,30,19,14,-
169a,Úrazy způsobené železnicí: poranění zaměstnanců,91,-,-,-,18,23,26,17,5,1,1,-
169b,Úrazy způsobené železnicí: ostatních osob,67,-,1,3,15,8,9,12,9,8,2,-
170a,Úrazy způsobené motorovými vozidly: při srážce se železnicí,1,-,-,-,-,-,-,1,-,-,-,-
170b,Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid,2,-,-,-,1,-,-,1,-,-,-,-
170c,Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky,3,-,-,-,2,-,-,1,-,-,-,-
170d,"Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel",9,-,-,1,-,2,4,2,-,-,-,-
170,Úrazy způsobené motorovými vozidly: přejetím,39,-,8,7,1,2,5,4,5,2,5,-
170f,Ostatní a blíže neoznačené úrazy motorovými vozidly,32,-,1,1,6,5,4,5,4,3,3,-
171a,Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly,1,-,-,-,-,-,-,-,-,-,1,-
171b,"Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel",27,-,1,6,3,2,7,1,6,1,-,-
171c,Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly,14,-,1,-,2,1,4,-,-,4,2,-
172a,Úrazy při dopravě po vodě: utonutím pádem do vody a potopením,2,-,-,-,-,-,-,1,1,-,-,-
172b,Úrazy při dopravě po vodě: ostatní úrazy,-,-,-,-,-,-,-,-,-,-,-,-
173a,Úrazy při dopravě vzduchem: letadly,-,-,-,-,-,-,-,-,-,-,-,-
173b,Úrazy při dopravě vzduchem:  kluzáky,-,-,-,-,-,-,-,-,-,-,-,-
173c,Úrazy při dopravě vzduchem:  při seskoku padákem,-,-,-,-,-,-,-,-,-,-,-,-
173d,Úrazy při dopravě vzduchem:  jiné letecké úrazy,-,-,-,-,-,-,-,-,-,-,-,-
174,Úrazy v dolech a lomech,79,-,-,1,12,19,26,17,3,1,-,-
175a,Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční,17,-,-,-,3,4,5,1,1,1,2,-
175b,Úrazy při zemědělství a lesnictví:  jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-
175c,Úrazy při zemědělství a lesnictví:  ostaními zvířaty,15,-,-,-,-,3,-,1,3,3,5,-
175d,Úrazy při zemědělství a lesnictví:  ostatní úrazy,43,-,-,-,3,9,12,1,12,5,1,-
176,Úrazy způsobené stroji,16,-,-,1,4,2,3,3,2,1,-,-
177a,Otrava potravinami: otrava houbami,1,-,-,-,-,-,-,1,-,-,-,-
177b,Otrava ostatními potravinami,3,-,-,-,1,-,-,1,-,1,-,-
178a,Vdechování jedovatých plynů: svítiplynu,2,-,-,-,1,-,1,-,-,-,-,-
178b,Vdechování ostatních jedovatých plynů,32,1,3,-,6,6,3,-,3,4,6,-
179,"Jiné prudké otravy, vyjma otravy plynem",23,-,3,1,2,6,4,3,1,2,1,-
180,Následky požáru,4,-,4,-,-,-,-,-,-,-,-,-
181,Popálení a opaření (nikoliv při požáru),115,8,60,6,6,9,9,5,3,2,7,-
182,Mechanické zadušení,16,3,-,2,2,3,2,-,2,1,1,-
183,Utopení,184,2,34,49,49,19,11,5,5,8,2,-
184,Poranění střelnými zbraněmi,24,1,-,1,3,8,5,4,1,1,-,-
185,Poranění nástroji řeznými a bodnými,4,-,-,-,1,2,-,-,-,1,-,-
186a,"Poranění pádem, rozdrcením, sřícením: pádem s výše",52,-,-,5,3,5,10,7,11,7,4,-
186b,"Poranění pádem, rozdrcením, sřícením: rozdrcením",32,-,1,3,2,7,9,5,1,4,-,-
186c,"Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím",27,-,-,1,-,2,1,1,6,8,8,-
187,Poranění při živelných pohromách,-,-,-,-,-,-,-,-,-,-,-,-
188,Poranění způsobená zvířaty,7,-,1,-,1,1,-,1,2,-,1,-
189,"Vyhladovění, žízeň",-,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,23,-,-,-,-,2,2,3,2,10,4,-
191,Neobvyklé teplo,3,-,-,1,1,1,-,-,-,-,-,-
192,Poranění bleskem,23,-,-,-,5,3,6,3,3,2,1,-
193,Úrazy způsobené elektrickým proudem,41,-,-,7,15,6,10,3,-,-,-,-
194,Úrazy způsobené jedovatými zvířaty,1,-,-,-,-,-,-,-,-,1,-,-
195,Jiné úrazy nebo zevní příčiny,341,3,6,15,44,48,58,50,43,44,30,-
196,Úmrtí vojenských osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-
197,Úmrtí civilních osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-
198a,Soudní poprava,1581,-,-,-,123,364,532,379,148,34,1,-
198b,Smrt ve vězení a následky vězení,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVIII,Neurčité příčiny smrti,254,11,7,4,6,13,32,44,67,47,23,-
199,Náhlá smrt,17,1,-,-,1,1,4,2,4,3,1,-
200a,"Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje",135,3,3,3,3,3,16,26,28,31,19,-
200b,Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny,102,7,4,1,2,9,12,16,35,13,3,-
200c,"Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma",-,-,-,-,-,-,-,-,-,-,-,-
