1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IV,Nemoci krve a krvotvorné tkáně,144,4,1,-,-,-,1,1,1,4,13,32,42,36,9,-,,,,,,,
290,Zhoubná chudokrevnost a ostatní hyperchromní anemie,62,-,-,-,-,-,-,-,-,2,1,6,21,25,7,-,,,,,,,
291,Chudokrevnost z nedostatku železa,3,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,,,,,,,
292,Jiné chudokrevnosti určitého typu,13,-,-,-,-,-,1,-,-,-,2,5,4,-,1,-,,,,,,,
293,Chudokrevnost blíže neurčeného typu,10,-,-,-,-,-,-,-,-,-,1,1,5,3,-,-,,,,,,,
294,Polycythaemia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
295,Krvácivost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
296,Purpura a jiné haemorrhagické diathesy,6,1,1,-,-,-,-,1,1,-,-,1,1,-,-,-,,,,,,,
297,Agranulocytosis,26,-,-,-,-,-,-,-,-,2,4,11,6,3,-,-,,,,,,,
298,Nemoci sleziny,7,1,-,-,-,-,-,-,-,-,1,1,2,2,-,-,,,,,,,
299,Ostastní nemoci krve a krvotvorné tkáně,17,2,-,-,-,-,-,-,-,-,4,6,2,2,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
V,"Poruchy duševní, psychoneurosy a poruchy osobnosti",46,-,-,1,-,-,-,2,2,2,9,4,9,15,2,-,,,,,,,
300,Schizofrenie,7,-,-,-,-,-,-,-,2,1,2,1,-,1,-,-,,,,,,,
301,Maniodepresivita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
302,Involuční melancholie,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
303,Paranoické a paranoidní stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
304,Senilní psychosy,19,-,-,-,-,-,-,-,-,-,1,-,6,10,2,-,,,,,,,
305,Presenilní psychosy,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
306,Psychosy při arteriosklerose mozkové,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,,,,,,
307,Alkoholické psychosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
308,Jiné psychosy určitého původu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
309,Jiné a blíže neurčené psychosy,4,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,,,,,,,
310,Úzkostné reakce bez zmínky o tělesných příznacích,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
311,Hysterické reakce bez zmínky o úzkostných reakcích,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
312,Fobie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
313,Obsedantní a impulsivní stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
314,Neurotické a depresivní reakce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
315,Psychoneurosy s tělesnými příznaky od cirkulačního systému,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
316,Psychoneurosy s tělesnými příznaky od trávicího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
317,Psychoneurosy s tělesnými příznaky od jiných systémů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
318,"Jiné psychoneurotické poruchy,smíšené nebo blíže neurčené",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
320,Psychopathická osobnost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
321,Primitivní osobnost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
322,Alkoholismus,4,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,,,,,,,
323,Ostatní narkomanie a toxikomanie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
324,Úchylné chování v dětství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
325,Slabomyslnost,7,-,-,1,-,-,-,2,-,1,2,-,-,1,-,-,,,,,,,
326,"Jiné nebo blíže neurčené poruchy charakteru, chování a inteligence",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VI,Nemoci ústrojí nervového a čidel,6 817,35,17,5,5,4,43,19,40,69,330,852,2 093,2 577,728,-,,,,,,,
330,Subarachnoidální krvácení,10,-,-,-,-,-,-,-,-,-,3,3,1,3,-,-,,,,,,,
331,Mozkové krvácení,4 190,-,-,-,1,-,3,2,10,22,191,569,1 346,1 613,433,-,,,,,,,
332,Mozkový vmetek a záhať,1 020,1,4,1,-,-,1,1,3,5,30,126,359,382,107,-,,,,,,,
333,Spasmy mozkových tepen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
334,Jiné a špatně určitelné cevní poruchy centrálního nervstva,1 206,1,1,1,-,-,9,-,4,4,34,89,333,545,185,-,,,,,,,
340,Zánět mozkomíšních plen,49,15,6,1,-,-,4,-,2,1,7,5,5,3,-,-,,,,,,,
341,Phlebitis a thrombophlebitis nitrolebních splavů žilních,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
342,Nitrolební a nitropáteřní hlízy,7,1,-,-,-,-,1,-,-,2,-,1,2,-,-,-,,,,,,,
343,"Zánět mozku, míchy a zánět mozkomíšní",36,2,2,1,1,-,7,4,1,2,4,7,4,1,-,-,,,,,,,
344,Pozdní následky nitrolebních hlíz nebo hnisavých onemocnění,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
345,Mnohočetná sklerosa,114,-,-,-,-,-,-,2,10,23,38,24,13,4,-,-,,,,,,,
350,Paralysis agitans,32,-,-,-,-,-,-,-,-,1,5,4,11,10,1,-,,,,,,,
351,Mozková spastická dětská obrna,26,1,2,-,1,1,10,6,3,-,-,-,2,-,-,-,,,,,,,
352,Jiné mozkové obrny,6,-,-,-,-,-,-,-,-,1,-,-,3,1,1,-,,,,,,,
353,Padoucnice,41,-,-,1,1,2,3,3,3,3,6,11,2,6,-,-,,,,,,,
354,Migréna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
355,Jiné nemoci mozku,14,-,-,-,-,1,5,-,1,-,3,2,-,2,-,-,,,,,,,
356,Nemoci periferního neuronu a svalové atrofie,13,-,-,-,-,-,-,-,1,-,2,5,4,1,-,-,,,,,,,
357,Ostatní nemoci míchy,18,-,-,-,-,-,-,-,1,3,5,4,4,1,-,-,,,,,,,
360,Obrna nervu lícního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
361,Neuralgie nervu trojklanného,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
362,Neuritis pleteně pažní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
363,Ischias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
364,Polyneuritis a polyradiculitis,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
365,Erythrooedema polyneuriticum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
366,Jiné a blíže neurčené druhy neuralgií a neuritid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
367,Jiné nemoci mozkových nervů,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
368,Jiné nemoci periferních nervů vyjma nervy vegetativní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
369,Nemoci periferní soustavy vegetativního nervstva,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,
390,Zánět vnějšího ucha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
391,Zánět středního ucha bez zánětu výčnělku soscovitého,25,12,2,-,1,-,-,1,1,1,1,1,2,3,-,-,,,,,,,
392,Záně středního ucha a zánět výčnělku soscovitého,4,1,-,-,-,-,-,-,-,1,1,-,1,-,-,-,,,,,,,
393,Zánět výčnělku soscovitého bez zánětu středního ucha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
394,Jiná zánětlivá onemocnění ucha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
395,Nemoc Méniérova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
396,Jiné nemoci ucha a výčnělku soscovitého,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VII,Nemoci ústrojí cevního,16 450,9,11,2,2,-,15,22,71,166,646,1 869,4 622,6 584,2 431,-,,,,,,,
400,Prudké reumatické onemocnění bez postižení srdce,3,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,,,,,,,
401,Prudké reumatické onemocnění s postižením srdce,6,-,-,-,-,-,1,-,1,1,-,1,1,1,-,-,,,,,,,
402,Chorea,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,
410,Onemocnění chlopně dvojcípé,666,1,1,-,1,-,3,9,24,41,134,192,171,72,17,-,,,,,,,
411,Onemocnění chlopně aortální určené jako reumatické,13,-,-,-,-,-,-,-,-,-,2,3,3,5,-,-,,,,,,,
412,Onemocnění chlopně trojcípé,3,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,,,,,,,
413,Onemocnění chlopně pulmonální určené jako reumatické,50,-,-,-,-,-,-,-,3,8,7,14,12,6,-,-,,,,,,,
414,Jiné záněty nitroblány srdeční určené jako reumatické,85,-,-,-,-,-,-,2,2,6,12,25,22,16,-,-,,,,,,,
415,Jiné záněty svalu srdečního určené jako reumatické,6,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,,,,,,,
416,Jiné onemocnění srdce určené jako reumatické,135,-,-,-,-,-,1,-,6,10,32,37,30,17,2,-,,,,,,,
420,Arteriosklerotické onemocnění srdce a onemocnění tepen věnčitých,3 002,-,-,-,-,-,1,1,4,19,115,534,1 175,939,214,-,,,,,,,
421,Vleklé onemocnění nitroblány srdeční neoznačen,207,-,-,-,-,-,2,1,2,16,37,53,47,38,11,-,,,,,,,
422,Jiné degenerativní procesy svalu srdečního,6 690,-,3,-,-,-,2,3,9,15,91,423,1 707,3 216,1 221,-,,,,,,,
430,Prudký a subakutní zánět nitroblány srdeční,18,-,-,-,-,-,-,1,3,2,3,1,4,4,-,-,,,,,,,
431,Akutní zánět svalu srdečního neoznačený jako reumatický,29,8,4,2,1,-,3,2,-,1,2,3,2,1,-,-,,,,,,,
432,Prudké onemocnění osrdečníku označené jako nereumatické,7,-,-,-,-,-,-,-,-,-,1,-,4,2,-,-,,,,,,,
433,Poruchy srdeční činnosti,13,-,-,-,-,-,-,-,-,1,2,4,2,3,1,-,,,,,,,
434,Jiné nebo blíže neurčené onemocnění srdce,1 660,-,3,-,-,-,1,1,6,28,89,219,543,601,169,-,,,,,,,
440,Esenciální nezhoubná hypertense s onemocněním srdce,3,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,,,,,,,
441,Esenciální zhoubná hypertense s onemocněním srdce,8,-,-,-,-,-,-,-,-,-,1,1,4,2,-,-,,,,,,,
442,Hypertense s onemocněním srdce a arteriolární nefrosklerosou,90,-,-,-,-,-,-,-,-,-,5,16,31,31,7,-,,,,,,,
443,Jiné nebo blíže neurčené hypertense s onemocněním srdce,679,-,-,-,-,-,-,-,-,2,46,128,259,216,28,-,,,,,,,
444,Esenciální nezhoubná hypertense bez postižení srdce,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,,,,,,,
445,Esenciální zhoubná hypertense bez postižení srdce,4,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,,,,,,,
446,Hypertense s arteriolární nefrosklerosou bez postižení srdce,90,-,-,-,-,-,-,-,-,2,10,25,30,21,2,-,,,,,,,
447,Jiné hypertense bez postižení srdce,25,-,-,-,-,-,-,-,-,1,2,8,5,9,-,-,,,,,,,
450,Celkové kornatění tepen,2 376,-,-,-,-,-,-,-,2,-,12,64,378,1 205,715,-,,,,,,,
451,Výduť aorty označená jako nesyfilitická,48,-,-,-,-,-,-,-,1,1,1,15,16,11,3,-,,,,,,,
452,Jiné výdutě vyjma výdutě srdce a aorty,8,-,-,-,-,-,-,1,1,2,1,1,-,2,-,-,,,,,,,
453,Onemocnění periferních cév,8,-,-,-,-,-,-,-,-,-,-,-,3,3,2,-,,,,,,,
454,Arteriální vmetky a záhatě,16,-,-,-,-,-,-,-,-,1,-,3,2,7,3,-,,,,,,,
455,Sněti s neoznačenou příčinou,119,-,-,-,-,-,-,-,1,-,3,8,34,54,19,-,,,,,,,
456,Jiné nemoci tepen,5,-,-,-,-,-,-,-,1,-,1,-,1,1,1,-,,,,,,,
460,Žilní městky na dolních končetinách,19,-,-,-,-,-,-,-,1,-,2,4,6,6,-,-,,,,,,,
461,Žilní městky konečníku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
462,Městky na jiných určitých místech,6,-,-,-,-,-,-,-,-,-,1,2,2,1,-,-,,,,,,,
463,Phlebitis a trombophlebitis dolních končetin,20,-,-,-,-,-,-,-,-,-,-,2,10,8,-,-,,,,,,,
464,Zánět žil jiných míst,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,,,,,,,
465,Plicní vmetek,320,-,-,-,-,-,-,-,3,8,32,76,108,77,16,-,,,,,,,
466,Jiné žilní  vmetky a záhatě,5,-,-,-,-,-,-,-,-,-,1,1,2,1,-,-,,,,,,,
467,Jiné nemoci soustavy oběhu krevního,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,,,,,,
468,Některé nemoci uzlin a cest mízních,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,3 904,160,37,17,7,5,25,26,35,45,143,342,963,1 442,657,-,,,,,,,
470,Prudký zánět nosohltanu,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,
471,Prudký zanět vedlejších dutin nosních,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,,,,,,,
472,Prudký zánět hltanu,3,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
473,Prudký zánět mandlí,3,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,,,,,,,
474,Prudký zánět hrtanu a průdušnice,11,2,3,2,-,-,-,1,1,-,-,-,-,2,-,-,,,,,,,
475,Prudký zánět horních cest dýchacích na několika nebo blíže neurčených místech,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,
480,Chřipkový zánět plic,363,2,2,2,-,-,4,6,9,5,19,50,107,106,51,-,,,,,,,
481,Chřipka plicní nebo blíže neurčená,271,2,1,-,-,-,2,4,2,2,15,26,78,92,47,-,,,,,,,
482,Chřipka střevní,2,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,,,,,,,
483,Chřipka nervová,5,-,1,-,-,-,-,1,1,-,1,-,1,-,-,-,,,,,,,
490,Lalokový zánět plic,209,4,-,-,1,1,3,-,4,3,11,32,62,69,19,-,,,,,,,
491,Lalůčkový zánět plic,1 737,108,23,7,3,3,8,6,7,26,51,131,384,660,320,-,,,,,,,
492,Prvotní netypický zánět plic,20,14,-,-,-,-,1,1,1,1,-,-,2,-,-,-,,,,,,,
493,Jiný nebo blíže neurčený zánět plic,310,6,2,-,-,-,3,2,1,1,6,15,74,138,62,-,,,,,,,
500,Prudký zánět průdušek,37,3,3,2,2,-,-,-,1,-,3,1,5,10,7,-,,,,,,,
501,Zánět průdušek blíže neurčený,13,2,-,2,-,-,1,1,-,1,-,2,1,2,1,-,,,,,,,
502,Vleklý zánět průdušek,227,2,-,-,-,-,-,1,-,-,9,22,63,91,39,-,,,,,,,
510,Zbytnění mandlí a tkáně adenoidní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
511,Peritonsilární hlíza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
512,Vleklý zánět hltanu a nosohltanu,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,
515,Nosní polypy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
516,Vleklý zánět hrtanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
517,Jiná onemocnění horních cest dýchacích,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
518,Empyem hrudníku,21,6,1,-,-,-,1,-,-,1,3,1,4,3,1,-,,,,,,,
519,Zánět pohrudnice,73,2,1,1,-,-,-,-,2,-,4,9,28,22,4,-,,,,,,,
520,Spontánní pneumothorax,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
521,Plicní sněť,18,2,-,-,-,-,-,1,-,1,2,2,6,4,-,-,,,,,,,
522,Plicní překrvení a městnání krve v plicích,178,1,-,-,1,1,1,-,2,-,6,14,51,60,41,-,,,,,,,
523,Zaprášení plic kyselinou křemičitou a křemičitaný,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
524,Jiná zaprášení a fibrosy plic,4,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,,,,,,,
525,Jiné vleklé vmezeřené záněty plic,8,-,-,-,-,-,-,-,2,1,1,1,2,-,1,-,,,,,,,
526,Rozšíření průdušek,9,-,-,-,-,-,-,-,1,1,-,1,2,2,2,-,,,,,,,
527,Jiná onemocnění plic a hrudní dutiny,370,-,-,1,-,-,-,1,-,-,12,33,85,178,60,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IX,Nemoci ústrojí trávicího,1 744,90,15,5,3,2,14,12,31,36,165,337,488,448,98,-,,,,,,,
530,Zubní kazy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
531,Hlíza podpůrné tkáně zubu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
532,Jiná zánětlivá onemocnění podpůrné tkánězubů,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
533,"Poruchy skusu,růstu a vývoje zubů",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
534,Bolesti zubů z příčiny blíže neurčené,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
535,Jiné nemoci zubů a podpůrné tkáně zubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
536,Zánět sliznice dutiny ústní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
537,Nemoci slinných žláz,9,1,-,-,-,-,-,-,-,-,1,2,2,2,1,-,,,,,,,
538,Jiné nemoci dutiny ústní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
539,Nemoci jícnu,9,-,-,-,-,-,1,-,-,1,2,-,2,3,-,-,,,,,,,
540,Žaludeční vřed,106,-,-,-,-,-,-,-,1,2,11,20,30,39,3,-,,,,,,,
541,Dvanácterníkový vřed,25,-,-,-,-,-,-,-,1,-,5,6,7,5,1,-,,,,,,,
542,Gastrojejunální vřed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
543,Zánět žaludku a dvanácterníku,29,1,-,-,-,-,-,-,-,-,1,4,8,11,4,-,,,,,,,
544,Poruchy činnosti žaludeční,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
545,Jiné nemoci žaludku a dvanácterníku,4,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,,,,,,,
550,Prudký zánět červu,65,-,-,-,-,-,3,4,2,4,9,15,12,13,3,-,,,,,,,
551,Zánět červu blíže neurčený,14,-,-,-,-,-,2,-,1,-,1,3,2,5,-,-,,,,,,,
552,Jiné záněty červu,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
553,Jiné nemoci červu,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
560,Kýla (bez bližšího označení),53,2,1,-,-,-,-,-,-,2,3,9,13,17,6,-,,,,,,,
561,Kýla neprůchodná,110,-,-,-,-,-,-,-,-,-,5,18,31,44,12,-,,,,,,,
570,Neprůchodnost střev bez zmínky o  kýle,247,8,2,1,-,1,2,2,3,10,15,31,85,71,16,-,,,,,,,
571,Zánět žaludkostřevní a tlustého střeva,138,60,8,3,2,1,1,-,-,1,4,3,16,26,13,-,,,,,,,
572,Vleklý zánět tenkého střeva a vředovitý zánět tlustého střeva,52,7,1,1,-,-,1,-,1,4,4,6,13,10,4,-,,,,,,,
573,Poruchy činnosti střev,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
574,Řitní trhliny,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,,,,,,
575,Hlíza krajiny řitní a konečníkové,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
576,Zánět pobřišnice,46,1,1,-,-,-,-,1,1,1,6,7,19,6,3,-,,,,,,,
577,Pobřišnicové srůsty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
578,Jiné nemoci střev a pobřišnice,24,5,1,-,1,-,1,1,-,-,-,1,8,6,-,-,,,,,,,
580,Prudká a subakutní atrofie jater,31,1,-,-,-,-,1,1,3,1,4,11,4,5,-,-,,,,,,,
581,Jaterní cirrhosa,318,3,1,-,-,-,2,2,8,4,49,83,87,64,15,-,,,,,,,
582,Hnisavý zánět jater a jaterní hlíza,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,
583,Jiné nemoci jater,29,-,-,-,-,-,-,1,2,2,3,8,6,5,2,-,,,,,,,
584,Žlučové kaménky,207,-,-,-,-,-,-,-,6,2,21,57,63,52,6,-,,,,,,,
585,Zánět žlučníku bez zmínky o kaméncích,131,-,-,-,-,-,-,-,-,-,7,28,47,43,6,-,,,,,,,
586,Jiné nemoci žlučníku a žlučových cest,26,-,-,-,-,-,-,-,-,-,1,7,10,7,1,-,,,,,,,
587,Nemoci slinivky břišní,59,-,-,-,-,-,-,-,1,2,13,17,15,10,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,607,3,1,2,1,-,10,17,23,31,78,156,176,87,22,-,,,,,,,
590,Prudký zánět ledvin,12,1,-,1,1,-,-,1,-,-,3,3,2,-,-,-,,,,,,,
591,Zánět ledvin s otoky,8,-,-,-,-,-,-,-,2,-,3,1,2,-,-,-,,,,,,,
592,Vleklý zánět ledvin,245,-,-,-,-,-,5,10,13,14,35,67,66,28,7,-,,,,,,,
593,"Zánět ledvin, neurčený jako prudký nebo vleklý",11,-,-,-,-,-,1,2,1,-,2,-,4,1,-,-,,,,,,,
594,Jiné ledvinové sklerosy,70,-,1,-,-,-,1,-,1,2,7,17,22,15,4,-,,,,,,,
600,Infekce ledvin,154,2,-,1,-,-,1,3,4,8,18,38,46,24,9,-,,,,,,,
601,Hydronefrosa,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,,,,,,,
602,Kaménky v ledvině a v močovodu,59,-,-,-,-,-,1,1,1,1,7,18,18,12,-,-,,,,,,,
603,Jiné nemoci ledvin a močovodů,11,-,-,-,-,-,1,-,-,2,2,3,2,1,-,-,,,,,,,
604,Kaménky v jiných částech ústrojí močového,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,
605,Zánět měchýře močového,11,-,-,-,-,-,-,-,1,-,-,1,6,3,-,-,,,,,,,
606,Jiné nemoci měchýře močového,4,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,,,,,,,
607,Zánět roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
608,Zúžení roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
609,Jiné nemoci roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
610,Zbytnění žlázy předstrojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
611,Zánět žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
612,Jiné nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
613,Vodní kýla,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
614,Zánět varlat a nadvarlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
615,Fimosa a parafimosa,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
617,Jiné nemoci mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
620,Vleklá cystická onemocnění prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
621,Jiné nemoci prsů,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
622,Prudký zánět vejcovodů a vaječníků,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
623,Vleklý zánět vejcovodů a vaječníků,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
624,Zánět vejcovodů a vaječníků blíže neurčený,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
625,Jiné nemoci vejcovodů a vaječníků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
626,Nemoci parametria a pánevní pobřišnice,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,,,,,,,
630,"Zánětlivá onemocnění dělohy,pochvy, hrmy",3,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,,,,,,,
631,Výhřez dělohy a pochvy,5,-,-,-,-,-,-,-,-,1,-,1,1,1,1,-,,,,,,,
632,Úchylky v poloze dělohy,3,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,,,,,,,
633,Jiné nemoci dělohy,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,,,,,,,
634,Poruchy menstruace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
635,Příznaky přechodu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
637,Jiné nemoci ženských pohlavních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XI,"Porody, komplikace v těhotenství, při porodu a v šestinedělí",61,-,-,-,-,-,-,17,33,11,-,-,-,-,-,-,,,,,,,
640,Pyelitis a pyelonephritis v těhotenství,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,,,,,,,
641,Jiná zánětlivá onemocnění močového a pohlavního ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
642,Toxikosy v těhotenství,7,-,-,-,-,-,-,3,3,1,-,-,-,-,-,-,,,,,,,
643,Vcestné lůžko,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
644,Jiná krvácení za těhotenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
