1946,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),63,-,-,-,20,27,16,-,-,-,-,-,-
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,2,-,-,-,-,-,2,-,-,-,-,-,-
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,24,-,-,-,1,10,12,1,-,-,-,-,-
148a,Toxikosy ve stavu poporodním: eclampsie,25,-,-,-,12,7,6,-,-,-,-,-,-
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,6,-,-,-,-,4,2,-,-,-,-,-,-
148c,Toxikosy ve stavu poporodním: jiné toxikosy,-,-,-,-,-,-,-,-,-,-,-,-,-
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),22,-,-,-,5,11,6,-,-,-,-,-,-
149b,Jiné příhody porodu: ostatní příhody,19,-,-,-,5,10,4,-,-,-,-,-,-
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,10,-,-,-,5,3,2,-,-,-,-,-,-
,,,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,182,145,4,1,1,-,4,5,6,10,5,1,-
151,Nežitina (furunculosis),107,99,1,1,1,-,2,-,1,2,-,-,-
152,Zánět podkožního vaziva,24,7,1,-,-,-,1,4,1,6,4,-,-
153,Jiné nemoci kůže a vaziva podkožního,51,39,2,-,-,-,1,1,4,2,1,1,-
,,,,,,,,,,,,,,
XIII,Nemoci kostí a ústrojí pohybu,136,1,1,8,5,3,7,5,18,32,38,18,-
154,Zánět dřeně kostní a okostice,36,1,1,7,3,1,2,2,6,7,5,1,-
155,Jiné nemoci kostí,74,-,-,-,-,-,2,2,5,19,29,17,-
156a,Nemoci kloubů a ostatních orgánů pohybu: kloubů,11,-,-,1,1,-,-,1,2,5,1,-,-
156b,Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu,15,-,-,-,1,2,3,-,5,1,3,-,-
,,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,342,322,19,1,-,-,-,-,-,-,-,-,-
157a,Vrozené vady vývojové: vrozená vodnatelnost mozku,49,39,9,1,-,-,-,-,-,-,-,-,-
157b,Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová,39,38,1,-,-,-,-,-,-,-,-,-,-
157c,Vrozené vady vývojové: vrozené anomalie tvaru srdce,172,165,7,-,-,-,-,-,-,-,-,-,-
157d,Vrozené vady vývojové: zrůdy,9,9,-,-,-,-,-,-,-,-,-,-,-
157,Vrozené vady vývojové: vrozené zúžení vrátníku,11,11,-,-,-,-,-,-,-,-,-,-,-
157f,Vrozené vady vývojové: rozštěp patra,21,21,-,-,-,-,-,-,-,-,-,-,-
157g,Vrozené vady vývojové: zarostění řiti,1,1,-,-,-,-,-,-,-,-,-,-,-
157h,Vrozené vady vývojové: jiné vady vývojové,35,33,2,-,-,-,-,-,-,-,-,-,-
157i,Vrozené vady vývojové: bez bližšího označení,5,5,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2413,2413,-,-,-,-,-,-,-,-,-,-,-
158,Vrozená slabost dětí donošených,780,780,-,-,-,-,-,-,-,-,-,-,-
159,Předčasné narození,942,942,-,-,-,-,-,-,-,-,-,-,-
160,Následky porodu,247,247,-,-,-,-,-,-,-,-,-,-,-
161a,Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu,248,248,-,-,-,-,-,-,-,-,-,-,-
161b,Jiné zvláštní nemoci útlého věku: nákazy novorozenců,137,137,-,-,-,-,-,-,-,-,-,-,-
161c,Jiné zvláštní nemoci útlého věku: melaena neonatorum,5,5,-,-,-,-,-,-,-,-,-,-,-
161d,Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců,54,54,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVI,Stařecká sešlost,4008,-,-,-,-,-,-,-,-,585,2140,1279,4
162a,Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou,53,-,-,-,-,-,-,-,-,12,25,16,-
162b,Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci,3955,-,-,-,-,-,-,-,-,573,2115,1263,4
,,,,,,,,,,,,,,
XVII ,Zevní příčiny smrti,1757,34,142,100,230,148,259,220,198,216,166,39,5
SE,Sebevraždy,669,-,-,-,89,83,131,116,104,82,52,10,2
163a,Sebevražda otravou látkami žíravými,18,-,-,-,4,2,7,2,3,-,-,-,-
163b,Sebevražda otravou léky utišujícími a látkami omamnými,21,-,-,-,3,5,6,2,2,1,1,-,1
163c,Sebevražda otravou léky uspávajícími,4,-,-,-,2,-,-,1,-,1,-,-,-
163d,Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými,43,-,-,-,15,10,6,5,3,4,-,-,-
163,Sebevražda otravou svítiplynem,34,-,-,-,7,10,2,7,4,1,3,-,-
163f,Sebevražda otravou jinými a nerozlišenými jedovatými plyny,16,-,-,-,1,2,4,5,3,-,1,-,-
164a,Jiné sebevraždy oběšením a uškrcením,320,-,-,-,16,32,66,64,58,52,28,4,-
164b,Jiné sebevraždy utopením,90,-,-,-,9,4,16,16,14,15,13,2,1
164c,Jiné sebevraždy střelnými zbraněmi a výbušnými látkami,32,-,-,-,16,6,5,4,1,-,-,-,-
164d,Jiné sebevraždy nástroji řeznými a bodnými,9,-,-,-,-,-,3,2,2,-,2,-,-
164,Jiné sebevraždy skokem s výše,25,-,-,-,4,4,6,2,5,-,2,2,-
164f,Jiné sebevraždy přejetím,37,-,-,-,10,6,8,3,5,4,-,1,-
164g,Ostatní sebevraždy blíže neoznačené,10,-,-,-,1,-,1,1,2,2,2,1,-
164h,Sebevraždy bez bližšího označení,10,-,-,-,1,2,1,2,2,2,-,-,-
NA,Vraždy a zabití,67,7,1,5,20,7,13,5,5,3,-,1,-
165a,Vražda dítěte do 1 roku: zjištěná násilná smrt,7,7,-,-,-,-,-,-,-,-,-,-,-
165b,Vražda dítěte do 1 roku: nalezená mrtvola dítěte,-,-,-,-,-,-,-,-,-,-,-,-,-
166,Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším,35,-,-,2,15,5,9,2,1,1,-,-,-
167,Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším,5,-,-,1,-,1,1,1,-,-,-,1,-
168a,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem,13,-,1,2,2,1,3,1,3,-,-,-,-
168b,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným,7,-,-,-,3,-,-,1,1,2,-,-,-
,Úrazy,1001,27,141,95,120,54,110,93,85,131,114,28,3
DN,Úrazy při dopravě,233,3,12,27,38,17,42,23,24,23,22,2,-
169a,Úrazy způsobené železnicí: poranění zaměstnanců,2,-,-,-,-,1,1,-,-,-,-,-,-
169b,Úrazy způsobené železnicí: ostatních osob,39,1,1,1,4,3,5,7,4,5,8,-,-
170a,Úrazy způsobené motorovými vozidly: při srážce se železnicí,6,-,-,-,3,1,1,1,-,-,-,-,-
170b,Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid,2,-,-,-,1,-,1,-,-,-,-,-,-
170c,Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky,1,-,-,-,-,-,1,-,-,-,-,-,-
170d,"Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel",64,-,5,10,16,3,8,4,6,5,5,2,-
170,Úrazy způsobené motorovými vozidly: přejetím,38,1,4,7,5,2,5,3,5,4,2,-,-
170f,Ostatní a blíže neoznačené úrazy motorovými vozidly,47,1,1,7,3,3,13,5,5,7,2,-,-
171a,Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly,1,-,-,-,1,-,-,-,-,-,-,-,-
171b,"Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel",20,-,1,1,3,2,3,2,3,2,3,-,-
171c,Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly,7,-,-,1,-,1,1,1,1,-,2,-,-
172a,Úrazy při dopravě po vodě: utonutím pádem do vody a potopením,-,-,-,-,-,-,-,-,-,-,-,-,-
172b,Úrazy při dopravě po vodě: ostatní úrazy,2,-,-,-,2,-,-,-,-,-,-,-,-
173a,Úrazy při dopravě vzduchem: letadly,3,-,-,-,-,1,2,-,-,-,-,-,-
173b,Úrazy při dopravě vzduchem:  kluzáky,-,-,-,-,-,-,-,-,-,-,-,-,-
173c,Úrazy při dopravě vzduchem:  při seskoku padákem,-,-,-,-,-,-,-,-,-,-,-,-,-
173d,Úrazy při dopravě vzduchem:  jiné letecké úrazy,1,-,-,-,-,-,1,-,-,-,-,-,-
174,Úrazy v dolech a lomech,1,-,-,-,1,-,-,-,-,-,-,-,-
175a,Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční,6,-,-,-,2,1,-,-,-,2,1,-,-
175b,Úrazy při zemědělství a lesnictví:  jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-
175c,Úrazy při zemědělství a lesnictví:  ostaními zvířaty,7,-,-,-,-,-,1,1,1,3,1,-,-
175d,Úrazy při zemědělství a lesnictví:  ostatní úrazy,9,-,-,-,1,2,1,1,1,2,-,1,-
176,Úrazy způsobené stroji,6,-,-,-,1,3,-,2,-,-,-,-,-
177a,Otrava potravinami: otrava houbami,10,-,1,2,1,2,-,1,1,2,-,-,-
177b,Otrava ostatními potravinami,6,-,1,-,1,-,1,1,1,1,-,-,-
178a,Vdechování jedovatých plynů: svítiplynu,18,1,1,-,5,2,2,1,3,1,2,-,-
178b,Vdechování ostatních jedovatých plynů,41,1,3,2,7,2,10,6,4,3,3,-,-
179,"Jiné prudké otravy, vyjma otravy plynem",34,-,3,3,8,2,7,4,5,2,-,-,-
180,Následky požáru,6,-,4,1,-,-,-,-,1,-,-,-,-
181,Popálení a opaření (nikoliv při požáru),146,12,49,15,2,5,6,11,8,15,19,4,-
182,Mechanické zadušení,20,8,3,1,-,-,4,1,1,2,-,-,-
183,Utopení,92,1,40,16,10,1,5,3,4,6,4,1,1
184,Poranění střelnými zbraněmi,36,-,4,8,12,3,2,3,1,2,1,-,-
185,Poranění nástroji řeznými a bodnými,1,-,-,-,-,-,-,-,-,1,-,-,-
186a,"Poranění pádem, rozdrcením, sřícením: pádem s výše",36,-,2,-,1,2,2,4,6,10,5,4,-
186b,"Poranění pádem, rozdrcením, sřícením: rozdrcením",2,-,-,-,-,1,1,-,-,-,-,-,-
186c,"Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím",26,-,-,-,1,-,1,-,1,8,14,1,-
187,Poranění při živelných pohromách,-,-,-,-,-,-,-,-,-,-,-,-,-
188,Poranění způsobená zvířaty,4,-,1,-,-,-,1,1,-,-,1,-,-
189,"Vyhladovění, žízeň",1,-,-,-,-,-,-,-,1,-,-,-,-
190,Neobvyklá zima,5,-,-,-,-,-,-,-,1,2,1,-,1
191,Neobvyklé teplo,-,-,-,-,-,-,-,-,-,-,-,-,-
192,Poranění bleskem,10,-,-,1,2,1,1,3,2,-,-,-,-
193,Úrazy způsobené elektrickým proudem,21,-,1,4,8,2,4,1,-,1,-,-,-
194,Úrazy způsobené jedovatými zvířaty,1,-,-,1,-,-,-,-,-,-,-,-,-
195,Jiné úrazy nebo zevní příčiny,223,1,16,14,19,8,19,26,19,45,40,15,1
196,Úmrtí vojenských osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
197,Úmrtí civilních osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
198a,Soudní poprava,20,-,-,-,1,4,5,6,4,-,-,-,-
198b,Smrt ve vězení a následky vězení,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVIII,Neurčité příčiny smrti,337,9,12,2,6,15,22,37,128,63,32,7,4
199,Náhlá smrt,12,1,-,-,1,2,-,-,3,3,2,-,-
200a,"Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje",218,3,5,2,4,10,18,21,65,54,29,6,1
200b,Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny,104,5,7,-,1,3,4,16,59,6,1,1,1
200c,"Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma",3,-,-,-,-,-,-,-,1,-,-,-,2
