1948,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),x,x,x,x,x,x,x,x,x,x,x,x,x
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,x,x,x,x,x,x,x,x,x,x,x,x,x
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,x,x,x,x,x,x,x,x,x,x,x,x,x
148a,Toxikosy ve stavu poporodním: eclampsie,x,x,x,x,x,x,x,x,x,x,x,x,x
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,x,x,x,x,x,x,x,x,x,x,x,x,x
148c,Toxikosy ve stavu poporodním: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x,x
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),x,x,x,x,x,x,x,x,x,x,x,x,x
149b,Jiné příhody porodu: ostatní příhody,x,x,x,x,x,x,x,x,x,x,x,x,x
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,x,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,88,62,2,1,-,2,4,6,2,5,3,1,-
151,Nežitina (furunculosis),42,35,1,1,-,-,1,1,-,1,1,1,-
152,Zánět podkožního vaziva,17,10,-,-,-,-,1,4,-,2,-,-,-
153,Jiné nemoci kůže a vaziva podkožního,29,17,1,-,-,2,2,1,2,2,2,-,-
,,,,,,,,,,,,,,
XIII,Nemoci kostí a ústrojí pohybu,94,4,1,5,5,4,8,8,8,26,18,7,-
154,Zánět dřeně kostní a okostice,41,4,1,4,3,3,5,3,4,13,1,-,-
155,Jiné nemoci kostí,29,-,-,-,-,1,1,1,-,8,14,4,-
156a,Nemoci kloubů a ostatních orgánů pohybu: kloubů,6,-,-,-,-,-,-,1,1,1,2,1,-
156b,Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu,18,-,-,1,2,-,2,3,3,4,1,2,-
,,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,410,391,13,6,-,-,-,-,-,-,-,-,-
157a,Vrozené vady vývojové: vrozená vodnatelnost mozku,53,44,6,3,-,-,-,-,-,-,-,-,-
157b,Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová,22,22,-,-,-,-,-,-,-,-,-,-,-
157c,Vrozené vady vývojové: vrozené anomalie tvaru srdce,245,235,7,3,-,-,-,-,-,-,-,-,-
157d,Vrozené vady vývojové: zrůdy,4,4,-,-,-,-,-,-,-,-,-,-,-
157,Vrozené vady vývojové: vrozené zúžení vrátníku,11,11,-,-,-,-,-,-,-,-,-,-,-
157f,Vrozené vady vývojové: rozštěp patra,10,10,-,-,-,-,-,-,-,-,-,-,-
157g,Vrozené vady vývojové: zarostění řiti,5,5,-,-,-,-,-,-,-,-,-,-,-
157h,Vrozené vady vývojové: jiné vady vývojové,57,57,-,-,-,-,-,-,-,-,-,-,-
157i,Vrozené vady vývojové: bez bližšího označení,3,3,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2517,2517,-,-,-,-,-,-,-,-,-,-,-
158,Vrozená slabost dětí donošených,541,541,-,-,-,-,-,-,-,-,-,-,-
159,Předčasné narození,1236,1236,-,-,-,-,-,-,-,-,-,-,-
160,Následky porodu,329,329,-,-,-,-,-,-,-,-,-,-,-
161a,Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu,251,251,-,-,-,-,-,-,-,-,-,-,-
161b,Jiné zvláštní nemoci útlého věku: nákazy novorozenců,50,50,-,-,-,-,-,-,-,-,-,-,-
161c,Jiné zvláštní nemoci útlého věku: melaena neonatorum,6,6,-,-,-,-,-,-,-,-,-,-,-
161d,Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců,104,104,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVI,Stařecká sešlost,1977,-,-,-,-,-,-,-,-,230,1099,648,-
162a,Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou,78,-,-,-,-,-,-,-,-,24,40,14,-
162b,Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci,1899,-,-,-,-,-,-,-,-,206,1059,634,-
,,,,,,,,,,,,,,
XVII ,Zevní příčiny smrti,4160,65,228,268,620,578,723,638,437,353,202,44,4
SE,Sebevraždy,1307,-,-,10,171,174,233,252,191,156,101,17,2
163a,Sebevražda otravou látkami žíravými,13,-,-,1,3,3,4,-,-,2,-,-,-
163b,Sebevražda otravou léky utišujícími a látkami omamnými,12,-,-,-,3,2,3,1,2,1,-,-,-
163c,Sebevražda otravou léky uspávajícími,2,-,-,-,-,1,-,1,-,-,-,-,-
163d,Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými,25,-,-,-,6,6,5,4,2,1,1,-,-
163,Sebevražda otravou svítiplynem,19,-,-,-,2,5,4,6,-,1,1,-,-
163f,Sebevražda otravou jinými a nerozlišenými jedovatými plyny,22,-,-,-,1,4,6,2,3,4,2,-,-
164a,Jiné sebevraždy oběšením a uškrcením,772,-,-,5,50,71,129,162,137,118,83,15,2
164b,Jiné sebevraždy utopením,59,-,-,-,5,3,8,12,11,12,7,1,-
164c,Jiné sebevraždy střelnými zbraněmi a výbušnými látkami,235,-,-,3,79,53,41,41,14,2,2,-,-
164d,Jiné sebevraždy nástroji řeznými a bodnými,25,-,-,-,1,1,7,7,5,3,1,-,-
164,Jiné sebevraždy skokem s výše,44,-,-,-,6,9,9,8,7,4,1,-,-
164f,Jiné sebevraždy přejetím,59,-,-,-,15,13,11,5,7,4,3,1,-
164g,Ostatní sebevraždy blíže neoznačené,7,-,-,-,-,1,2,1,2,1,-,-,-
164h,Sebevraždy bez bližšího označení,13,-,-,1,-,2,4,2,1,3,-,-,-
NA,Vraždy a zabití,89,14,2,6,9,12,23,16,3,3,-,-,1
165a,Vražda dítěte do 1 roku: zjištěná násilná smrt,12,12,-,-,-,-,-,-,-,-,-,-,-
165b,Vražda dítěte do 1 roku: nalezená mrtvola dítěte,2,2,-,-,-,-,-,-,-,-,-,-,-
166,Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším,36,-,-,1,6,7,10,9,2,1,-,-,-
167,Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším,13,-,-,3,-,2,8,-,-,-,-,-,-
168a,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem,17,-,2,2,2,1,4,4,-,1,-,-,1
168b,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným,9,-,-,-,1,2,1,3,1,1,-,-,-
,Úrazy,2748,51,226,252,440,390,457,367,242,194,101,27,1
DN,Úrazy při dopravě,847,1,30,68,145,140,175,131,71,55,30,1,-
169a,Úrazy způsobené železnicí: poranění zaměstnanců,103,-,-,-,10,27,34,23,8,1,-,-,-
169b,Úrazy způsobené železnicí: ostatních osob,71,-,1,6,11,6,7,10,8,9,12,1,-
170a,Úrazy způsobené motorovými vozidly: při srážce se železnicí,18,-,-,3,2,4,7,2,-,-,-,-,-
170b,Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid,23,-,-,-,6,5,7,3,1,-,1,-,-
170c,Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky,18,-,-,2,1,4,4,5,2,-,-,-,-
170d,"Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel",240,-,5,15,52,49,52,33,20,10,4,-,-
170,Úrazy způsobené motorovými vozidly: přejetím,102,-,15,24,12,7,9,14,11,9,1,-,-
170f,Ostatní a blíže neoznačené úrazy motorovými vozidly,161,1,5,12,22,28,40,24,12,10,7,-,-
171a,Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly,2,-,-,-,-,-,-,-,-,2,-,-,-
171b,"Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel",54,-,1,3,4,4,7,13,6,12,4,-,-
171c,Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly,18,-,3,3,2,-,1,3,3,2,1,-,-
172a,Úrazy při dopravě po vodě: utonutím pádem do vody a potopením,-,-,-,-,-,-,-,-,-,-,-,-,-
172b,Úrazy při dopravě po vodě: ostatní úrazy,1,-,-,-,-,-,-,1,-,-,-,-,-
173a,Úrazy při dopravě vzduchem: letadly,28,-,-,-,18,5,5,-,-,-,-,-,-
173b,Úrazy při dopravě vzduchem:  kluzáky,1,-,-,-,1,-,-,-,-,-,-,-,-
173c,Úrazy při dopravě vzduchem:  při seskoku padákem,1,-,-,-,1,-,-,-,-,-,-,-,-
173d,Úrazy při dopravě vzduchem:  jiné letecké úrazy,6,-,-,-,3,1,2,-,-,-,-,-,-
174,Úrazy v dolech a lomech,138,-,-,1,21,26,45,34,9,1,1,-,-
175a,Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční,72,-,-,3,9,11,11,6,11,18,3,-,-
175b,Úrazy při zemědělství a lesnictví:  jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-
175c,Úrazy při zemědělství a lesnictví:  ostaními zvířaty,27,-,-,-,-,2,4,6,6,6,2,1,-
175d,Úrazy při zemědělství a lesnictví:  ostatní úrazy,97,-,-,2,10,11,17,20,19,15,3,-,-
176,Úrazy způsobené stroji,34,-,-,1,9,7,9,5,2,1,-,-,-
177a,Otrava potravinami: otrava houbami,6,-,-,-,-,1,2,1,2,-,-,-,-
177b,Otrava ostatními potravinami,7,-,1,-,-,-,2,1,2,1,-,-,-
178a,Vdechování jedovatých plynů: svítiplynu,22,1,3,1,2,5,2,4,2,-,2,-,-
178b,Vdechování ostatních jedovatých plynů,50,2,4,2,9,7,6,9,3,5,2,1,-
179,"Jiné prudké otravy, vyjma otravy plynem",31,4,6,-,2,4,8,4,2,-,1,-,-
180,Následky požáru,7,1,3,1,1,-,-,-,-,1,-,-,-
181,Popálení a opaření (nikoliv při požáru),124,12,45,15,4,10,11,9,4,8,4,2,-
182,Mechanické zadušení,70,22,12,6,4,5,9,3,5,4,-,-,-
183,Utopení,323,2,95,72,75,30,9,11,14,4,9,2,-
184,Poranění střelnými zbraněmi,117,-,1,32,32,18,21,6,3,-,2,1,1
185,Poranění nástroji řeznými a bodnými,8,-,-,2,-,2,2,1,-,1,-,-,-
186a,"Poranění pádem, rozdrcením, sřícením: pádem s výše",72,1,5,8,6,6,16,7,10,7,3,3,-
186b,"Poranění pádem, rozdrcením, sřícením: rozdrcením",10,-,-,-,1,2,6,1,-,-,-,-,-
186c,"Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím",23,-,-,-,2,2,1,-,2,7,3,6,-
187,Poranění při živelných pohromách,-,-,-,-,-,-,-,-,-,-,-,-,-
188,Poranění způsobená zvířaty,9,-,-,1,2,-,1,2,3,-,-,-,-
189,"Vyhladovění, žízeň",-,-,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,8,-,-,-,-,2,-,2,1,1,2,-,-
191,Neobvyklé teplo,4,-,-,-,-,-,1,-,1,-,1,1,-
192,Poranění bleskem,21,-,-,2,6,3,-,4,2,4,-,-,-
193,Úrazy způsobené elektrickým proudem,70,-,3,9,20,16,12,10,-,-,-,-,-
194,Úrazy způsobené jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-
195,Jiné úrazy nebo zevní příčiny,551,5,18,26,80,80,87,90,68,55,33,9,-
196,Úmrtí vojenských osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
197,Úmrtí civilních osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
198a,Soudní poprava,16,-,-,-,-,2,10,3,1,-,-,-,-
198b,Smrt ve vězení a následky vězení,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVIII,Neurčité příčiny smrti,251,6,10,5,8,7,17,56,60,49,29,4,-
199,Náhlá smrt,19,1,2,1,-,-,2,5,2,5,1,-,-
200a,"Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje",177,3,-,2,6,6,15,46,37,35,23,4,-
200b,Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny,54,2,8,2,2,1,-,5,21,8,5,-,-
200c,"Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma",1,-,-,-,-,-,-,-,-,1,-,-,-
