1947,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),x,x,x,x,x,x,x,x,x,x,x,x,x
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,x,x,x,x,x,x,x,x,x,x,x,x,x
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,x,x,x,x,x,x,x,x,x,x,x,x,x
148a,Toxikosy ve stavu poporodním: eclampsie,x,x,x,x,x,x,x,x,x,x,x,x,x
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,x,x,x,x,x,x,x,x,x,x,x,x,x
148c,Toxikosy ve stavu poporodním: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x,x
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),x,x,x,x,x,x,x,x,x,x,x,x,x
149b,Jiné příhody porodu: ostatní příhody,x,x,x,x,x,x,x,x,x,x,x,x,x
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,x,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,145,111,6,1,5,-,2,1,6,5,6,2,-
151,Nežitina (furunculosis),66,61,1,1,1,-,-,-,-,-,-,2,-
152,Zánět podkožního vaziva,23,12,-,-,1,-,1,-,4,2,3,-,-
153,Jiné nemoci kůže a vaziva podkožního,56,38,5,-,3,-,1,1,2,3,3,-,-
,,,,,,,,,,,,,,
XIII,Nemoci kostí a ústrojí pohybu,101,1,2,9,4,5,9,10,13,22,21,5,-
154,Zánět dřeně kostní a okostice,42,1,1,9,4,1,4,2,5,10,5,-,-
155,Jiné nemoci kostí,30,-,1,-,-,2,-,1,1,5,15,5,-
156a,Nemoci kloubů a ostatních orgánů pohybu: kloubů,9,-,-,-,-,-,-,2,-,6,1,-,-
156b,Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu,20,-,-,-,-,2,5,5,7,1,-,-,-
,,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,435,411,23,1,-,-,-,-,-,-,-,-,-
157a,Vrozené vady vývojové: vrozená vodnatelnost mozku,47,38,9,-,-,-,-,-,-,-,-,-,-
157b,Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová,22,21,-,1,-,-,-,-,-,-,-,-,-
157c,Vrozené vady vývojové: vrozené anomalie tvaru srdce,258,248,10,-,-,-,-,-,-,-,-,-,-
157d,Vrozené vady vývojové: zrůdy,10,10,-,-,-,-,-,-,-,-,-,-,-
157,Vrozené vady vývojové: vrozené zúžení vrátníku,11,11,-,-,-,-,-,-,-,-,-,-,-
157f,Vrozené vady vývojové: rozštěp patra,14,14,-,-,-,-,-,-,-,-,-,-,-
157g,Vrozené vady vývojové: zarostění řiti,6,6,-,-,-,-,-,-,-,-,-,-,-
157h,Vrozené vady vývojové: jiné vady vývojové,63,59,4,-,-,-,-,-,-,-,-,-,-
157i,Vrozené vady vývojové: bez bližšího označení,4,4,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,3024,3024,-,-,-,-,-,-,-,-,-,-,-
158,Vrozená slabost dětí donošených,835,835,-,-,-,-,-,-,-,-,-,-,-
159,Předčasné narození,1352,1352,-,-,-,-,-,-,-,-,-,-,-
160,Následky porodu,354,354,-,-,-,-,-,-,-,-,-,-,-
161a,Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu,322,322,-,-,-,-,-,-,-,-,-,-,-
161b,Jiné zvláštní nemoci útlého věku: nákazy novorozenců,71,71,-,-,-,-,-,-,-,-,-,-,-
161c,Jiné zvláštní nemoci útlého věku: melaena neonatorum,6,6,-,-,-,-,-,-,-,-,-,-,-
161d,Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců,84,84,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVI,Stařecká sešlost,2611,-,-,-,-,-,-,-,-,346,1499,766,-
162a,Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou,63,-,-,-,-,-,-,-,-,16,37,10,-
162b,Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci,2548,-,-,-,-,-,-,-,-,330,1462,756,-
,,,,,,,,,,,,,,
XVII ,Zevní příčiny smrti,4822,58,231,228,754,694,903,787,473,384,261,44,5
SE,Sebevraždy,1496,-,-,10,180,204,269,322,199,167,127,16,2
163a,Sebevražda otravou látkami žíravými,11,-,-,-,2,2,1,3,-,2,1,-,-
163b,Sebevražda otravou léky utišujícími a látkami omamnými,14,-,-,-,2,3,2,4,2,-,1,-,-
163c,Sebevražda otravou léky uspávajícími,1,-,-,-,-,1,-,-,-,-,-,-,-
163d,Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými,32,-,-,-,7,11,4,6,4,-,-,-,-
163,Sebevražda otravou svítiplynem,30,-,-,-,3,6,10,7,2,2,-,-,-
163f,Sebevražda otravou jinými a nerozlišenými jedovatými plyny,23,-,-,-,1,6,6,5,2,2,1,-,-
164a,Jiné sebevraždy oběšením a uškrcením,925,-,-,7,62,92,166,203,149,130,105,11,-
164b,Jiné sebevraždy utopením,51,-,-,1,6,2,4,9,13,9,4,3,-
164c,Jiné sebevraždy střelnými zbraněmi a výbušnými látkami,268,-,-,2,86,60,40,51,13,8,6,1,1
164d,Jiné sebevraždy nástroji řeznými a bodnými,25,-,-,-,-,1,7,8,5,2,2,-,-
164,Jiné sebevraždy skokem s výše,43,-,-,-,2,9,10,11,5,1,3,1,1
164f,Jiné sebevraždy přejetím,46,-,-,-,5,7,9,10,4,8,3,-,-
164g,Ostatní sebevraždy blíže neoznačené,9,-,-,-,-,3,4,1,-,1,-,-,-
164h,Sebevraždy bez bližšího označení,18,-,-,-,4,1,6,4,-,2,1,-,-
NA,Vraždy a zabití,79,17,4,3,13,9,19,6,3,2,2,1,-
165a,Vražda dítěte do 1 roku: zjištěná násilná smrt,15,15,-,-,-,-,-,-,-,-,-,-,-
165b,Vražda dítěte do 1 roku: nalezená mrtvola dítěte,2,2,-,-,-,-,-,-,-,-,-,-,-
166,Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším,34,-,2,2,7,4,13,4,2,-,-,-,-
167,Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším,14,-,-,1,4,3,3,1,1,-,1,-,-
168a,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem,9,-,2,-,1,1,1,-,-,2,1,1,-
168b,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným,5,-,-,-,1,1,2,1,-,-,-,-,-
,Úrazy,3019,41,227,215,559,443,520,389,251,213,132,27,2
DN,Úrazy při dopravě,833,4,41,43,137,186,192,109,62,33,22,3,1
169a,Úrazy způsobené železnicí: poranění zaměstnanců,79,-,-,1,13,15,28,12,8,2,-,-,-
169b,Úrazy způsobené železnicí: ostatních osob,110,-,4,1,16,22,24,16,8,8,8,3,-
170a,Úrazy způsobené motorovými vozidly: při srážce se železnicí,15,-,-,1,3,2,4,5,-,-,-,-,-
170b,Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid,29,-,-,-,7,8,8,5,1,-,-,-,-
170c,Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky,6,-,-,-,3,1,1,1,-,-,-,-,-
170d,"Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel",213,-,4,7,43,57,55,26,12,7,2,-,-
170,Úrazy způsobené motorovými vozidly: přejetím,96,1,15,20,11,7,13,8,11,6,4,-,-
170f,Ostatní a blíže neoznačené úrazy motorovými vozidly,155,2,12,7,19,40,34,20,8,6,7,-,-
171a,Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly,17,-,-,3,-,8,2,2,1,-,1,-,-
171b,"Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel",42,-,3,2,6,8,5,9,6,3,-,-,-
171c,Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly,27,1,3,1,3,3,5,4,6,1,-,-,-
172a,Úrazy při dopravě po vodě: utonutím pádem do vody a potopením,-,-,-,-,-,-,-,-,-,-,-,-,-
172b,Úrazy při dopravě po vodě: ostatní úrazy,-,-,-,-,-,-,-,-,-,-,-,-,-
173a,Úrazy při dopravě vzduchem: letadly,41,-,-,-,11,15,13,-,1,-,-,-,1
173b,Úrazy při dopravě vzduchem:  kluzáky,2,-,-,-,2,-,-,-,-,-,-,-,-
173c,Úrazy při dopravě vzduchem:  při seskoku padákem,-,-,-,-,-,-,-,-,-,-,-,-,-
173d,Úrazy při dopravě vzduchem:  jiné letecké úrazy,1,-,-,-,-,-,-,1,-,-,-,-,-
174,Úrazy v dolech a lomech,150,-,-,-,41,20,47,31,10,-,1,-,-
175a,Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční,50,-,-,2,6,4,10,9,9,8,1,1,-
175b,Úrazy při zemědělství a lesnictví:  jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-
175c,Úrazy při zemědělství a lesnictví:  ostaními zvířaty,35,-,-,4,3,3,6,3,8,5,3,-,-
175d,Úrazy při zemědělství a lesnictví:  ostatní úrazy,65,-,-,-,11,4,19,9,11,8,3,-,-
176,Úrazy způsobené stroji,44,-,-,-,9,7,12,9,5,1,1,-,-
177a,Otrava potravinami: otrava houbami,-,-,-,-,-,-,-,-,-,-,-,-,-
177b,Otrava ostatními potravinami,11,1,2,1,1,1,1,1,2,-,1,-,-
178a,Vdechování jedovatých plynů: svítiplynu,16,-,-,-,3,2,5,1,2,2,-,1,-
178b,Vdechování ostatních jedovatých plynů,57,1,3,3,11,6,13,5,10,3,2,-,-
179,"Jiné prudké otravy, vyjma otravy plynem",39,-,2,1,4,6,6,9,5,4,2,-,-
180,Následky požáru,10,-,2,2,4,-,-,1,-,1,-,-,-
181,Popálení a opaření (nikoliv při požáru),142,7,71,1,13,12,6,7,7,4,11,3,-
182,Mechanické zadušení,84,21,11,5,10,7,10,9,4,4,3,-,-
183,Utopení,340,3,69,53,104,26,21,18,16,18,12,-,-
184,Poranění střelnými zbraněmi,148,1,2,38,44,23,17,13,4,4,1,-,1
185,Poranění nástroji řeznými a bodnými,8,-,1,2,-,1,2,1,-,-,-,1,-
186a,"Poranění pádem, rozdrcením, sřícením: pádem s výše",85,2,4,6,11,8,9,10,7,18,8,2,-
186b,"Poranění pádem, rozdrcením, sřícením: rozdrcením",24,-,4,1,3,-,4,7,3,1,1,-,-
186c,"Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím",44,-,1,-,-,1,4,7,4,15,9,3,-
187,Poranění při živelných pohromách,4,-,-,1,1,-,-,-,1,1,-,-,-
188,Poranění způsobená zvířaty,14,-,1,2,4,1,1,-,3,1,1,-,-
189,"Vyhladovění, žízeň",-,-,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,19,-,-,-,-,1,4,1,3,5,4,1,-
191,Neobvyklé teplo,2,-,-,1,-,-,1,-,-,-,-,-,-
192,Poranění bleskem,29,-,1,1,5,6,9,3,3,1,-,-,-
193,Úrazy způsobené elektrickým proudem,92,-,-,13,33,26,11,8,1,-,-,-,-
194,Úrazy způsobené jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-
195,Jiné úrazy nebo zevní příčiny,674,1,12,35,101,92,110,118,71,76,46,12,-
196,Úmrtí vojenských osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
197,Úmrtí civilních osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-,-
198a,Soudní poprava,228,-,-,-,2,38,95,70,20,2,-,-,1
198b,Smrt ve vězení a následky vězení,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XVIII,Neurčité příčiny smrti,352,5,6,2,6,12,24,69,116,66,42,4,-
199,Náhlá smrt,31,2,-,1,-,2,4,11,6,2,3,-,-
200a,"Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje",268,2,4,1,4,9,16,51,79,61,37,4,-
200b,Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny,52,1,2,-,2,1,3,7,31,3,2,-,-
200c,"Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma",1,-,-,-,-,-,1,-,-,-,-,-,-
