1958,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
IV,Nemoci krve a krvotvorné tkáně,123,-,-,-,-,-,1,2,2,1,11,23,39,39,5,-,,,,,,,
290,Zhoubná chudokrevnost a ostatní hyperchromní anemie,59,-,-,-,-,-,-,-,-,-,-,3,21,31,4,-,,,,,,,
291,Chudokrevnost z nedostatku železa,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,,,,
292,Jiné chudokrevnosti určitého typu,6,-,-,-,-,-,-,1,1,-,-,2,1,1,-,-,,,,,,,
293,Chudokrevnost blíže neurčeného typu,7,-,-,-,-,-,-,-,-,-,2,1,3,1,-,-,,,,,,,
294,Polycythaemia,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,
295,Krvácivost,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
296,Purpura a jiné haemorrhagické diathesy,8,-,-,-,-,-,-,1,1,-,2,1,1,1,1,-,,,,,,,
297,Agranulocytosis,29,-,-,-,-,-,1,-,-,-,7,10,9,2,-,-,,,,,,,
298,Nemoci sleziny,6,-,-,-,-,-,-,-,-,1,-,3,2,-,-,-,,,,,,,
299,Ostastní nemoci krve a krvotvorné tkáně,3,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
V,"Poruchy duševní, psychoneurosy a poruchy osobnosti",55,-,-,-,-,2,1,1,4,3,2,9,16,11,6,-,,,,,,,
300,Schizofrenie,10,-,-,-,-,-,-,-,3,1,-,4,1,1,-,-,,,,,,,
301,Maniodepresivita,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,
302,Involuční melancholie,3,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,,,,,,,
303,Paranoické a paranoidní stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
304,Senilní psychosy,23,-,-,-,-,-,-,-,-,-,-,1,8,8,6,-,,,,,,,
305,Presenilní psychosy,3,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,,,,,,,
306,Psychosy při arteriosklerose mozkové,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,
307,Alkoholické psychosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
308,Jiné psychosy určitého původu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
309,Jiné a blíže neurčené psychosy,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
310,Úzkostné reakce bez zmínky o tělesných příznacích,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
311,Hysterické reakce bez zmínky o úzkostných reakcích,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
312,Fobie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
313,Obsedantní a impulsivní stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
314,Neurotické a depresivní reakce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
315,Psychoneurosy s tělesnými příznaky od cirkulačního systému,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
316,Psychoneurosy s tělesnými příznaky od trávicího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
317,Psychoneurosy s tělesnými příznaky od jiných systémů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
318,"Jiné psychoneurotické poruchy,smíšené nebo blíže neurčené",2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,,,,,
320,Psychopathická osobnost,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
321,Primitivní osobnost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
322,Alkoholismus,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
323,Ostatní narkomanie a toxikomanie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
324,Úchylné chování v dětství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
325,Slabomyslnost,7,-,-,-,-,2,1,1,-,1,-,1,1,-,-,-,,,,,,,
326,"Jiné nebo blíže neurčené poruchy charakteru, chování a inteligence",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VI,Nemoci ústrojí nervového a čidel,6 322,48,11,7,5,3,28,30,34,66,287,832,1 952,2 382,637,-,,,,,,,
330,Subarachnoidální krvácení,12,-,-,-,-,-,-,-,1,-,2,2,3,4,-,-,,,,,,,
331,Mozkové krvácení,3 865,3,-,-,-,1,4,7,5,24,167,531,1 241,1 489,393,-,,,,,,,
332,Mozkový vmetek a záhať,836,3,1,-,-,-,-,1,1,6,32,129,287,319,57,-,,,,,,,
333,Spasmy mozkových tepen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
334,Jiné a špatně určitelné cevní poruchy centrálního nervstva,1 241,4,2,1,2,-,4,1,2,7,24,112,357,542,183,-,,,,,,,
340,Zánět mozkomíšních plen,51,18,4,-,1,-,1,-,1,5,-,8,10,3,-,-,,,,,,,
341,Phlebitis a thrombophlebitis nitrolebních splavů žilních,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
342,Nitrolební a nitropáteřní hlízy,4,-,-,-,-,-,1,-,1,-,-,2,-,-,-,-,,,,,,,
343,"Zánět mozku, míchy a zánět mozkomíšní",31,4,2,2,-,1,4,5,1,2,1,3,3,3,-,-,,,,,,,
344,Pozdní následky nitrolebních hlíz nebo hnisavých onemocnění,7,2,1,-,-,-,2,-,-,-,1,-,-,-,1,-,,,,,,,
345,Mnohočetná sklerosa,119,-,-,-,-,-,-,4,9,15,47,25,16,3,-,-,,,,,,,
350,Paralysis agitans,27,-,-,-,-,-,-,-,1,-,2,6,10,8,-,-,,,,,,,
351,Mozková spastická dětská obrna,13,1,-,2,1,-,2,3,3,-,-,-,1,-,-,-,,,,,,,
352,Jiné mozkové obrny,19,-,-,-,-,-,-,2,-,-,1,3,9,4,-,-,,,,,,,
353,Padoucnice,43,-,1,1,1,-,6,7,7,4,8,5,2,1,-,-,,,,,,,
354,Migréna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
355,Jiné nemoci mozku,14,1,-,-,-,1,1,-,-,1,1,1,4,2,2,-,,,,,,,
356,Nemoci periferního neuronu a svalové atrofie,11,-,-,-,-,-,1,-,-,-,-,2,4,3,1,-,,,,,,,
357,Ostatní nemoci míchy,10,-,-,-,-,-,-,-,1,1,1,2,4,1,-,-,,,,,,,
360,Obrna nervu lícního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
361,Neuralgie nervu trojklanného,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
362,Neuritis pleteně pažní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
363,Ischias,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
364,Polyneuritis a polyradiculitis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
365,Erythrooedema polyneuriticum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
366,Jiné a blíže neurčené druhy neuralgií a neuritid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
367,Jiné nemoci mozkových nervů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
368,Jiné nemoci periferních nervů vyjma nervy vegetativní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
369,Nemoci periferní soustavy vegetativního nervstva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
390,Zánět vnějšího ucha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
391,Zánět středního ucha bez zánětu výčnělku soscovitého,16,11,-,-,-,-,2,-,1,1,-,-,1,-,-,-,,,,,,,
392,Záně středního ucha a zánět výčnělku soscovitého,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
393,Zánět výčnělku soscovitého bez zánětu středního ucha,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
394,Jiná zánětlivá onemocnění ucha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
395,Nemoc Méniérova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
396,Jiné nemoci ucha a výčnělku soscovitého,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VII,Nemoci ústrojí cevního,15 811,7,2,2,-,-,23,51,106,199,660,1 814,4 429,6 309,2 209,-,,,,,,,
400,Prudké reumatické onemocnění bez postižení srdce,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
401,Prudké reumatické onemocnění s postižením srdce,16,-,-,1,-,-,6,2,1,1,2,-,3,-,-,-,,,,,,,
402,Chorea,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
410,Onemocnění chlopně dvojcípé,739,-,-,-,-,-,2,18,34,57,137,196,172,109,14,-,,,,,,,
411,Onemocnění chlopně aortální určené jako reumatické,15,-,-,-,-,-,-,-,2,-,1,2,4,6,-,-,,,,,,,
412,Onemocnění chlopně trojcípé,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,,,,,
413,Onemocnění chlopně pulmonální určené jako reumatické,26,-,-,-,-,-,-,1,1,4,6,4,5,2,3,-,,,,,,,
414,Jiné záněty nitroblány srdeční určené jako reumatické,82,-,-,-,-,-,-,4,4,10,11,15,27,8,3,-,,,,,,,
415,Jiné záněty svalu srdečního určené jako reumatické,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,
416,Jiné onemocnění srdce určené jako reumatické,153,-,-,-,-,-,6,5,6,12,27,37,30,27,3,-,,,,,,,
420,Arteriosklerotické onemocnění srdce a onemocnění tepen věnčitých,2 733,-,-,-,-,-,-,2,5,22,135,468,1 043,892,166,-,,,,,,,
421,Vleklé onemocnění nitroblány srdeční neoznačen,133,-,-,-,-,-,1,3,6,11,16,30,35,25,6,-,,,,,,,
422,Jiné degenerativní procesy svalu srdečního,6 782,-,2,-,-,-,1,3,12,20,107,511,1 814,3 177,1 135,-,,,,,,,
430,Prudký a subakutní zánět nitroblány srdeční,22,-,-,-,-,-,-,-,5,-,4,5,3,5,-,-,,,,,,,
431,Akutní zánět svalu srdečního neoznačený jako reumatický,24,5,-,1,-,-,1,-,2,1,-,2,7,3,2,-,,,,,,,
432,Prudké onemocnění osrdečníku označené jako nereumatické,15,1,-,-,-,-,-,-,1,2,1,-,5,5,-,-,,,,,,,
433,Poruchy srdeční činnosti,16,-,-,-,-,-,-,-,-,-,-,4,3,7,2,-,,,,,,,
434,Jiné nebo blíže neurčené onemocnění srdce,1 337,-,-,-,-,-,4,2,15,34,87,202,385,475,133,-,,,,,,,
440,Esenciální nezhoubná hypertense s onemocněním srdce,3,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,,,,,,,
441,Esenciální zhoubná hypertense s onemocněním srdce,9,-,-,-,-,-,-,-,-,1,2,3,-,3,-,-,,,,,,,
442,Hypertense s onemocněním srdce a arteriolární nefrosklerosou,66,-,-,-,-,-,-,1,3,4,5,16,22,13,2,-,,,,,,,
443,Jiné nebo blíže neurčené hypertense s onemocněním srdce,658,-,-,-,-,-,-,1,-,8,42,117,266,197,27,-,,,,,,,
444,Esenciální nezhoubná hypertense bez postižení srdce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
445,Esenciální zhoubná hypertense bez postižení srdce,4,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,,,,,,,
446,Hypertense s arteriolární nefrosklerosou bez postižení srdce,115,-,-,-,-,-,-,-,-,1,13,39,32,25,5,-,,,,,,,
447,Jiné hypertense bez postižení srdce,53,-,-,-,-,-,-,-,-,1,2,17,16,15,2,-,,,,,,,
450,Celkové kornatění tepen,2 270,-,-,-,-,-,-,-,-,-,7,46,390,1 162,665,-,,,,,,,
451,Výduť aorty označená jako nesyfilitická,49,-,-,-,-,-,-,-,1,3,7,10,14,12,2,-,,,,,,,
452,Jiné výdutě vyjma výdutě srdce a aorty,11,-,-,-,-,-,1,1,-,1,2,4,2,-,-,-,,,,,,,
453,Onemocnění periferních cév,5,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,,,,,,,
454,Arteriální vmetky a záhatě,9,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,,,,,,,
455,Sněti s neoznačenou příčinou,105,-,-,-,-,-,-,1,1,-,3,7,31,41,21,-,,,,,,,
456,Jiné nemoci tepen,3,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,,,,,,,
460,Žilní městky na dolních končetinách,21,-,-,-,-,-,-,-,-,-,1,7,6,4,3,-,,,,,,,
461,Žilní městky konečníku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
462,Městky na jiných určitých místech,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
463,Phlebitis a trombophlebitis dolních končetin,16,-,-,-,-,-,-,1,-,1,3,1,6,4,-,-,,,,,,,
464,Zánět žil jiných míst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
465,Plicní vmetek,306,-,-,-,-,-,-,5,5,5,33,58,102,85,13,-,,,,,,,
466,Jiné žilní  vmetky a záhatě,6,-,-,-,-,-,-,-,1,-,-,3,2,-,-,-,,,,,,,
467,Jiné nemoci soustavy oběhu krevního,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,
468,Některé nemoci uzlin a cest mízních,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,3 293,222,34,12,10,1,24,18,30,34,89,288,764,1 284,483,-,,,,,,,
470,Prudký zánět nosohltanu,3,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,,,,,,,
471,Prudký zanět vedlejších dutin nosních,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
472,Prudký zánět hltanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
473,Prudký zánět mandlí,4,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,,,,,,,
474,Prudký zánět hrtanu a průdušnice,6,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
475,Prudký zánět horních cest dýchacích na několika nebo blíže neurčených místech,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
480,Chřipkový zánět plic,93,6,5,-,1,-,4,2,1,1,4,9,21,25,14,-,,,,,,,
481,Chřipka plicní nebo blíže neurčená,60,-,-,1,-,-,1,-,1,-,-,4,19,20,14,-,,,,,,,
482,Chřipka střevní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
483,Chřipka nervová,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
490,Lalokový zánět plic,188,6,-,-,1,-,-,1,3,1,7,31,53,72,13,-,,,,,,,
491,Lalůčkový zánět plic,1 585,132,15,7,5,-,14,11,16,18,40,122,362,609,234,-,,,,,,,
492,Prvotní netypický zánět plic,22,18,2,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
493,Jiný nebo blíže neurčený zánět plic,403,20,5,1,1,-,1,1,1,3,9,30,89,164,78,-,,,,,,,
500,Prudký zánět průdušek,28,6,1,-,-,-,2,-,-,-,-,1,4,10,4,-,,,,,,,
501,Zánět průdušek blíže neurčený,21,2,-,2,-,-,-,-,1,-,-,2,4,7,3,-,,,,,,,
502,Vleklý zánět průdušek,201,2,-,-,-,-,-,-,-,3,4,22,57,81,32,-,,,,,,,
510,Zbytnění mandlí a tkáně adenoidní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
511,Peritonsilární hlíza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
512,Vleklý zánět hltanu a nosohltanu,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,
515,Nosní polypy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
516,Vleklý zánět hrtanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
517,Jiná onemocnění horních cest dýchacích,3,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,,,,,,,
518,Empyem hrudníku,23,10,-,-,-,-,-,1,1,1,1,5,2,1,1,-,,,,,,,
519,Zánět pohrudnice,55,5,-,-,-,-,-,1,-,2,5,5,12,22,3,-,,,,,,,
520,Spontánní pneumothorax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
521,Plicní sněť,45,10,1,-,-,-,-,-,-,1,4,6,12,11,-,-,,,,,,,
522,Plicní překrvení a městnání krve v plicích,171,2,-,-,-,-,-,-,3,2,5,13,32,81,33,-,,,,,,,
523,Zaprášení plic kyselinou křemičitou a křemičitaný,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,,,,,
524,Jiná zaprášení a fibrosy plic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
525,Jiné vleklé vmezeřené záněty plic,7,-,-,-,-,-,1,-,2,-,-,3,-,-,1,-,,,,,,,
526,Rozšíření průdušek,8,-,-,-,-,-,-,-,-,-,2,1,4,-,1,-,,,,,,,
527,Jiná onemocnění plic a hrudní dutiny,358,-,-,1,-,-,-,-,1,-,5,31,92,176,52,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IX,Nemoci ústrojí trávicího,1 875,132,16,4,1,2,19,11,33,53,171,350,550,446,87,-,,,,,,,
530,Zubní kazy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
531,Hlíza podpůrné tkáně zubu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
532,Jiná zánětlivá onemocnění podpůrné tkánězubů,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
533,"Poruchy skusu,růstu a vývoje zubů",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
534,Bolesti zubů z příčiny blíže neurčené,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
535,Jiné nemoci zubů a podpůrné tkáně zubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
536,Zánět sliznice dutiny ústní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
537,Nemoci slinných žláz,5,-,-,-,-,-,-,-,-,-,1,1,1,2,-,-,,,,,,,
538,Jiné nemoci dutiny ústní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
539,Nemoci jícnu,5,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,,,,,,,
540,Žaludeční vřed,97,-,-,-,-,-,1,-,-,3,15,20,33,23,2,-,,,,,,,
541,Dvanácterníkový vřed,29,-,-,-,-,-,-,-,-,1,1,6,9,12,-,-,,,,,,,
542,Gastrojejunální vřed,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
543,Zánět žaludku a dvanácterníku,34,2,-,-,-,-,-,-,-,1,-,4,3,18,6,-,,,,,,,
544,Poruchy činnosti žaludeční,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
545,Jiné nemoci žaludku a dvanácterníku,4,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,,,,,,,
550,Prudký zánět červu,71,-,1,-,-,1,7,2,5,4,7,16,15,10,3,-,,,,,,,
551,Zánět červu blíže neurčený,4,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,,,,,,,
552,Jiné záněty červu,4,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,,,,,,,
553,Jiné nemoci červu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
560,Kýla (bez bližšího označení),75,-,-,-,-,-,-,-,-,1,5,19,26,21,3,-,,,,,,,
561,Kýla neprůchodná,104,1,-,-,-,-,-,-,-,-,5,19,40,30,9,-,,,,,,,
570,Neprůchodnost střev bez zmínky o  kýle,248,10,1,-,-,-,4,3,6,8,18,40,66,73,19,-,,,,,,,
571,Zánět žaludkostřevní a tlustého střeva,202,109,12,3,-,-,2,-,1,2,9,13,21,26,4,-,,,,,,,
572,Vleklý zánět tenkého střeva a vředovitý zánět tlustého střeva,36,5,-,-,-,-,-,2,1,1,5,4,6,10,2,-,,,,,,,
573,Poruchy činnosti střev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
574,Řitní trhliny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
575,Hlíza krajiny řitní a konečníkové,69,-,2,-,1,-,2,1,2,5,5,15,15,19,2,-,,,,,,,
576,Zánět pobřišnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
577,Pobřišnicové srůsty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
578,Jiné nemoci střev a pobřišnice,20,2,-,1,-,-,-,-,-,1,-,1,4,9,2,-,,,,,,,
580,Prudká a subakutní atrofie jater,28,1,-,-,-,1,-,-,-,3,3,8,9,3,-,-,,,,,,,
581,Jaterní cirrhosa,407,-,-,-,-,-,2,1,7,9,57,98,139,88,6,-,,,,,,,
582,Hnisavý zánět jater a jaterní hlíza,10,-,-,-,-,-,-,1,1,1,2,-,2,3,-,-,,,,,,,
583,Jiné nemoci jater,29,1,-,-,-,-,-,-,2,4,4,7,5,5,1,-,,,,,,,
584,Žlučové kaménky,202,-,-,-,-,-,-,1,4,4,15,42,76,49,11,-,,,,,,,
585,Zánět žlučníku bez zmínky o kaméncích,114,-,-,-,-,-,-,-,1,1,5,21,46,28,12,-,,,,,,,
586,Jiné nemoci žlučníku a žlučových cest,28,-,-,-,-,-,-,-,-,-,2,5,9,8,4,-,,,,,,,
587,Nemoci slinivky břišní,46,1,-,-,-,-,1,-,3,2,10,8,15,5,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,572,3,-,1,1,-,10,16,29,28,87,137,148,95,17,-,,,,,,,
590,Prudký zánět ledvin,12,1,-,-,-,-,-,-,-,1,1,4,3,2,-,-,,,,,,,
591,Zánět ledvin s otoky,11,-,-,-,-,-,1,-,-,1,1,4,1,3,-,-,,,,,,,
592,Vleklý zánět ledvin,234,-,-,-,-,-,5,9,17,18,44,46,61,26,8,-,,,,,,,
593,"Zánět ledvin, neurčený jako prudký nebo vleklý",11,-,-,-,-,-,-,-,-,-,1,4,3,3,-,-,,,,,,,
594,Jiné ledvinové sklerosy,32,-,-,-,-,-,-,-,2,-,4,6,10,8,2,-,,,,,,,
600,Infekce ledvin,141,2,-,1,1,-,4,2,4,5,17,38,33,30,4,-,,,,,,,
601,Hydronefrosa,6,-,-,-,-,-,-,-,-,-,2,1,3,-,-,-,,,,,,,
602,Kaménky v ledvině a v močovodu,68,-,-,-,-,-,-,2,4,2,10,18,18,14,-,-,,,,,,,
603,Jiné nemoci ledvin a močovodů,22,-,-,-,-,-,-,1,-,1,1,9,7,2,1,-,,,,,,,
604,Kaménky v jiných částech ústrojí močového,3,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,,,,,,,
605,Zánět měchýře močového,13,-,-,-,-,-,-,-,-,-,-,2,6,5,-,-,,,,,,,
606,Jiné nemoci měchýře močového,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
607,Zánět roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
608,Zúžení roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
609,Jiné nemoci roury močové,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
610,Zbytnění žlázy předstrojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
611,Zánět žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
612,Jiné nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
613,Vodní kýla,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
614,Zánět varlat a nadvarlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
615,Fimosa a parafimosa,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
617,Jiné nemoci mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
620,Vleklá cystická onemocnění prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
621,Jiné nemoci prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
622,Prudký zánět vejcovodů a vaječníků,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,,,,,,,
623,Vleklý zánět vejcovodů a vaječníků,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
624,Zánět vejcovodů a vaječníků blíže neurčený,3,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,,,,,,,
625,Jiné nemoci vejcovodů a vaječníků,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
626,Nemoci parametria a pánevní pobřišnice,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,,,,,,,
630,"Zánětlivá onemocnění dělohy,pochvy, hrmy",3,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,,,,,,,
631,Výhřez dělohy a pochvy,3,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,,,,,,,
632,Úchylky v poloze dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
633,Jiné nemoci dělohy,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,,,,,,,
634,Poruchy menstruace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
635,Příznaky přechodu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
637,Jiné nemoci ženských pohlavních orgánů,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XI,"Porody, komplikace v těhotenství, při porodu a v šestinedělí",76,-,-,-,-,-,-,24,36,16,-,-,-,-,-,-,,,,,,,
640,Pyelitis a pyelonephritis v těhotenství,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,,,
641,Jiná zánětlivá onemocnění močového a pohlavního ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
642,Toxikosy v těhotenství,8,-,-,-,-,-,-,3,4,1,-,-,-,-,-,-,,,,,,,
643,Vcestné lůžko,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,,,,,,,
644,Jiná krvácení za těhotenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
645,Mimoděložní těhotenství,4,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,,,,,,,
