1963,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,9 484,4,7,4,3,7,33,22,31,20,45,94,161,314,331,757,1 011,1 345,1 531,1 464,1 249,751,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Zhoubný novotvar rtu,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Zhoubný novotvar jazyka,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Zhoubný novotvar slinných žláz,14,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,1,1,1,3,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Zhoubný novotvar spodiny ústní,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Zhoubný novotvar jiných částí úst a zhoubný novotvar neurčené části dutiny ústní,22,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,2,-,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Zhoubný novotvar ústní částí hltanu a mandlí,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Zhoubný novotvar nosohltanu,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Zhoubný novotvar hrtanové části hltanu,8,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,3,1,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Zhoubný novotvar neurčené části hltanu,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,2,-,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Zhoubný novotvar jícnu,40,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,6,8,8,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Zhoubný novotvar žaludku,1 915,-,-,-,-,-,-,-,-,1,3,8,14,22,34,86,159,220,349,374,360,221,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Zhoubný novotvar tenkého střeva a dvanácterníku,23,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,4,8,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Zhoubný novotvar tlustého střeva vyjma konečníku,482,-,-,-,-,-,-,-,2,-,-,5,4,15,15,19,37,74,80,85,72,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Zhoubný novotvar konečníku,435,-,-,-,-,-,-,-,-,-,-,2,3,8,6,25,46,69,80,74,63,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Zhoubný novotvar žlučových cest a jater (určený jako primární),903,-,-,-,-,-,-,-,-,1,-,-,3,12,12,46,88,128,167,166,156,87,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Zhoubný novotvar jater (sekundární nebo neurčený),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Zhoubný novotvar slinivky břišní,332,-,-,-,-,-,-,-,-,-,-,-,4,5,7,23,33,52,68,75,43,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Zhoubný novotvar pobřišnice,63,-,-,-,-,-,-,-,-,-,1,-,1,2,-,6,11,10,13,6,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Zhoubný novotvar neurčené části trávicího ústrojí,159,-,-,-,-,-,1,-,-,-,-,-,-,1,1,7,11,16,32,39,25,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Zhoubný novotvar nosu, dutiny nosní, středního ucha a vedlejších dutin",8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,2,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Zhoubný novotvar hrtanu,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,3,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Zhoubný novotvar průdušnice, průdušek, plic, určený jako primární",413,-,-,-,-,-,-,-,-,1,-,4,4,11,13,29,39,64,85,65,55,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Zhoubný novotvar plic a průdušek, neurčený jako primární nebo sekundární",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Zhoubný novotvar mezihrudí,21,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,4,5,4,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Zhoubný novotvar hrudních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Zhoubný novotvar prsů,1 080,-,-,-,-,-,-,-,-,1,2,15,30,72,70,145,161,156,138,109,88,62,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Zhoubný novotvar hrdla děložního,477,-,-,-,-,-,-,-,-,1,4,11,27,35,30,61,65,74,48,68,35,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Zhoubný novotvar těla děložního,138,-,-,-,-,-,-,-,-,-,-,1,3,2,5,9,16,31,23,26,16,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Zhoubný novotvar jiných částí dělohy a chorioepitheliom,12,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,1,-,2,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Zhoubný novotvar neurčené části dělohy,360,-,-,-,-,-,-,-,-,-,2,5,5,17,13,34,46,64,49,52,38,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Zhoubný novotvar vaječníku, vejcovodu, širokého vazu",535,-,-,-,-,-,1,-,2,-,4,4,9,34,34,84,92,89,80,52,30,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Zhoubný novotvar jiných nebo blíže neurčených ženských orgánů pohlavních,159,-,-,-,-,-,-,-,-,-,-,-,3,7,6,14,20,25,24,16,25,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Zhoubný novotvar varlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Zhoubný novotvar jiných nebo blíže neurčených mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Zhoubný novotvar ledvin,146,1,-,-,-,1,-,-,-,-,1,2,2,6,7,10,21,24,23,16,23,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Zhoubný novotvar močového měchýře a ostatních močových orgánů,116,-,-,-,-,-,-,-,-,-,-,-,1,2,3,8,6,18,22,19,18,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Zhoubný melanom kůže,43,-,-,-,-,-,-,-,-,1,-,-,3,4,4,6,1,4,8,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Ostatní zhoubné novotvary kůže,76,-,-,-,-,-,-,-,-,1,1,1,-,1,1,4,6,4,11,6,7,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Zhoubný novotvar oka,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Zhoubný novotvar mozku a jiných částí ústrojí nervového,197,-,-,-,1,-,7,5,3,2,6,6,9,14,14,26,25,30,27,8,11,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Zhoubný novotvar štítné žlázy,75,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,1,14,8,18,15,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Zhoubný novotvar ostatních žláz s vnitřní sekrecí,12,-,-,-,1,1,-,-,-,1,-,-,-,2,-,2,1,-,2,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Zhoubný novotvar kostí (i čelistí),103,-,-,-,-,-,1,4,4,1,2,2,2,3,5,9,6,15,13,18,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Zhoubný novotvar pojiva,8,-,-,1,-,-,-,-,-,1,-,-,-,1,-,1,3,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Zsekundární nebo blíže neurčené zhoubné novotvary mízních uzlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Zhoubný novotvar jiného nebo blíže neurčeného umístění,332,1,-,-,-,-,3,1,1,1,4,2,7,7,11,22,34,35,50,45,53,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Lymfosarkom a retikulosarkom,106,-,-,-,-,1,3,2,1,-,1,1,3,2,1,10,11,8,20,13,17,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Hodgkinova nemoc,115,-,-,-,-,1,-,1,3,2,8,9,5,5,7,4,10,17,11,19,8,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Jiné druhy lymfomů,15,-,1,-,-,-,1,-,-,-,-,-,-,1,2,1,1,3,1,4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Mnohočetný myelom,62,-,-,-,-,-,-,-,-,-,-,-,-,2,1,6,9,14,13,7,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Leukaemie a aleukie,289,1,6,2,1,3,13,8,13,3,4,8,10,11,12,26,23,39,31,38,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Mycosis fungoides,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Nezhoubný novotvar dutiny ústní a hltanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Nezhoubný novotvar ostatních částí trávicího ústrojí,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Nezhoubný novotvar dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Nezhoubný novotvar prsů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Fibromyom dělohy,7,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,2,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Ostatní nezhoubné novotvary dělohy,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Nezhoubný novotvar vaječníku,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Nezhoubný novotvar ostatních ženských pohlavních orgánů,6,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,1,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Nezhoubný novotvar ledvin a močových cest,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Nezhoubný melanom kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Pilonidální cysta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Ostatní nezhoubné novotvary kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Nezhoubný novotvar mozku a jiných částí ústrojí nervového,33,1,-,-,-,-,-,-,1,1,-,2,3,-,1,6,7,6,4,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Nezhoubný novotvar žláz s vnitřní sekrecí,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Nezhoubný novotvar kostí a chrupek,6,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,2,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Lipom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Jiné nezhoubné novotvary svalů a vaziva,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Haemangiom,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Nezhoubné novotvary ostatních nebo blíže neurčených orgánů a tkání,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Novotvar neurčené povahy trávicího ústrojí,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Novotvar neurčené povahy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Novotvar neurčené povahy prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Novotvar neurčené povahy dělohy,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Novotvar neurčené povahy vaječníků,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Novotvar neurčené povahy ostatních ženských pohlavních orgánů,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Novotvar neurčené povahy jiných pohlavních a močových orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Novotvar neurčené povahy mozku a jiných částí ústrojí nervového,33,-,-,1,-,-,3,1,1,-,2,4,1,-,4,2,2,4,6,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Novotvar neurčené povahy kůže,soustavy svalové a kosterní",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Novotvar neurčené povahy ostatních nebo blíže neurčených orgánů,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,"Nemoci allergické, žláz s vnitřní sekrecí, výměny látkové a výživy",1 727,9,1,2,1,-,2,1,1,3,5,7,11,17,17,71,126,248,364,366,297,130,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Senná rýma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Astma,128,-,-,-,-,-,1,-,-,1,1,2,2,5,1,10,10,7,11,22,29,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Angioneurotický oedem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Kopřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Allergický ekzém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Ostatní allergické poruchy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Vole prosté,9,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,1,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Vole uzlovité netoxické,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Thyreotoxikosa s voletem nebo bez něho,87,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2,9,18,20,15,13,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Myxoedema a kretenismus,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Ostatní nemoci štítné žlázy,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Úplavice cukrová,1 416,-,-,1,-,-,-,1,1,1,2,3,3,7,14,49,95,208,322,320,249,107,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Poruchy vnitřní sekrece slinivky břišní-jiné než úplavice cukrová,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Nemoci příštítných tělísek,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Nemoci hypofysy,7,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Nemoci brzlíku,10,7,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Nemoci nadledvinek,14,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,6,1,1,2,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Poruchy činnosti vaječníků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Poruchy činnosti varlat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Poruchy činnosti několika žláz s vnitřní sekrecí a ostatní nemoci žláz s vnitřní sekrecí,5,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Beri-Beri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Aktivní křivice,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Pozdní následky křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Jiné avitaminosy a stavy z nedostatku výživy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,"Otylost, není-li vnitřně sekretorického původu",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,2,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Dna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Ostatní nemoci výměny látkové,15,-,-,-,-,-,1,-,-,-,-,-,3,1,-,3,-,2,3,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Nemoci krve a krvotvorné tkáně,139,1,-,-,-,-,2,-,2,-,2,2,2,4,6,5,11,7,19,27,25,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Zhoubná chudokrevnost a ostatní hyperchromní anemie,38,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,2,3,7,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Chudokrevnost z nedostatku železa,11,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,3,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
