1944,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
XII,Nemoci kůže a vaziva podkožního,197,150,3,1,2,-,5,9,3,11,13,-
151,Nežitina (furunculosis),111,95,2,-,-,-,1,4,2,3,4,-
152,Zánět podkožního vaziva,39,15,-,1,1,-,3,3,1,7,8,-
153,Jiné nemoci kůže a vaziva podkožního,47,40,1,-,1,-,1,2,-,1,1,-
,,,,,,,,,,,,,
XIII,Nemoci kostí a ústrojí pohybu,174,7,3,8,7,6,3,7,18,32,83,-
154,Zánět dřeně kostní a okostice,45,6,3,3,3,2,-,4,6,10,8,-
155,Jiné nemoci kostí,99,1,-,1,1,1,1,1,8,16,69,-
156a,Nemoci kloubů a ostatních orgánů pohybu: kloubů,14,-,-,2,1,-,-,2,2,4,3,-
156b,Nemoci kloubů a ostatních orgánů pohybu: ostatních orgánů pohybu,16,-,-,2,2,3,2,-,2,2,3,-
,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,253,241,4,6,2,-,-,-,-,-,-,-
157a,Vrozené vady vývojové: vrozená vodnatelnost mozku,28,27,1,-,-,-,-,-,-,-,-,-
157b,Vrozené vady vývojové: rozštěp páteře a kýla omozečnicová,36,36,-,-,-,-,-,-,-,-,-,-
157c,Vrozené vady vývojové: vrozené anomalie tvaru srdce,132,122,2,6,2,-,-,-,-,-,-,-
157d,Vrozené vady vývojové: zrůdy,5,5,-,-,-,-,-,-,-,-,-,-
157,Vrozené vady vývojové: vrozené zúžení vrátníku,5,5,-,-,-,-,-,-,-,-,-,-
157f,Vrozené vady vývojové: rozštěp patra,18,18,-,-,-,-,-,-,-,-,-,-
157g,Vrozené vady vývojové: zarostění řiti,2,2,-,-,-,-,-,-,-,-,-,-
157h,Vrozené vady vývojové: jiné vady vývojové,21,20,1,-,-,-,-,-,-,-,-,-
157i,Vrozené vady vývojové: bez bližšího označení,6,6,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,1808,1808,-,-,-,-,-,-,-,-,-,-
158,Vrozená slabost dětí donošených,537,537,-,-,-,-,-,-,-,-,-,-
159,Předčasné narození,816,816,-,-,-,-,-,-,-,-,-,-
160,Následky porodu,162,162,-,-,-,-,-,-,-,-,-,-
161a,Jiné zvláštní nemoci útlého věku: asphyxie při nebo po porodu,160,160,-,-,-,-,-,-,-,-,-,-
161b,Jiné zvláštní nemoci útlého věku: nákazy novorozenců,84,84,-,-,-,-,-,-,-,-,-,-
161c,Jiné zvláštní nemoci útlého věku: melaena neonatorum,3,3,-,-,-,-,-,-,-,-,-,-
161d,Jiné zvláštní nemoci útlého věku: jiné nemoci novorozenců,46,46,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVI,Stařecká sešlost,4149,-,-,-,-,-,-,-,-,597,3550,2
162a,Stařecká sešlost u osob ve věku 65 a více let: s demencí stařeckou,104,-,-,-,-,-,-,-,-,27,77,-
162b,Stařecká sešlost u osob ve věku 65 a více let: bez údaje o stařecké demenci,4045,-,-,-,-,-,-,-,-,570,3473,2
,,,,,,,,,,,,,
XVII ,Zevní příčiny smrti,1939,31,110,113,276,242,295,288,223,193,165,3
SE,Sebevraždy,541,-,-,2,66,90,102,91,76,72,42,-
163a,Sebevražda otravou látkami žíravými,20,-,-,-,3,5,4,2,3,3,-,-
163b,Sebevražda otravou léky utišujícími a látkami omamnými,22,-,-,-,3,5,6,5,1,1,1,-
163c,Sebevražda otravou léky uspávajícími,15,-,-,-,4,2,3,5,1,-,-,-
163d,Sebevražda otravou jinými blíže neoznačenými jedy pevnými a tekutými,40,-,-,-,11,16,4,4,3,2,-,-
163,Sebevražda otravou svítiplynem,21,-,-,-,5,4,2,5,-,2,3,-
163f,Sebevražda otravou jinými a nerozlišenými jedovatými plyny,14,-,-,-,2,3,3,2,3,1,-,-
164a,Jiné sebevraždy oběšením a uškrcením,254,-,-,1,17,32,54,43,40,41,26,-
164b,Jiné sebevraždy utopením,80,-,-,-,3,10,15,15,13,13,11,-
164c,Jiné sebevraždy střelnými zbraněmi a výbušnými látkami,4,-,-,-,2,1,1,-,-,-,-,-
164d,Jiné sebevraždy nástroji řeznými a bodnými,8,-,-,-,-,1,-,1,2,4,-,-
164,Jiné sebevraždy skokem s výše,16,-,-,1,3,-,4,3,4,1,-,-
164f,Jiné sebevraždy přejetím,30,-,-,-,12,7,2,3,2,3,1,-
164g,Ostatní sebevraždy blíže neoznačené,5,-,-,-,-,-,1,1,2,1,-,-
164h,Sebevraždy bez bližšího označení,12,-,-,-,1,4,3,2,2,-,-,-
NA,Vraždy a zabití,37,9,3,2,5,6,6,2,3,-,1,-
165a,Vražda dítěte do 1 roku: zjištěná násilná smrt,9,9,-,-,-,-,-,-,-,-,-,-
165b,Vražda dítěte do 1 roku: nalezená mrtvola dítěte,-,-,-,-,-,-,-,-,-,-,-,-
166,Vražda a zabití střelnou zbraní osob ve věku 1 rok a vyšším,8,-,-,-,3,2,1,-,2,-,-,-
167,Vražda a zabití nástroji řeznými a bodnými osob ve věku 1 rok a vyšším,6,-,-,-,2,-,4,-,-,-,-,-
168a,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: jiným způsobem,11,-,2,1,-,4,1,1,1,-,1,-
168b,Jiné vraždy a zabití osob ve věku 1 rok a vyšším: způsobem blíže neoznačeným,3,-,1,1,-,-,-,1,-,-,-,-
,Úrazy,1267,22,107,109,198,128,154,167,139,120,122,1
DN,Úrazy při dopravě,110,-,11,14,17,13,8,13,12,12,10,-
169a,Úrazy způsobené železnicí: poranění zaměstnanců,3,-,-,-,1,-,-,-,1,-,1,-
169b,Úrazy způsobené železnicí: ostatních osob,33,-,-,2,5,5,4,3,1,6,7,-
170a,Úrazy způsobené motorovými vozidly: při srážce se železnicí,-,-,-,-,-,-,-,-,-,-,-,-
170b,Úrazy způsobené motorovými vozidly: při srážce s jinými motorovými vozid,1,-,-,-,-,-,-,-,-,-,1,-
170c,Úrazy způsobené motorovými vozidly: při srážce s jinými dopravními prostředky,2,-,-,1,1,-,-,-,-,-,-,-
170d,"Úrazy způsobené motorovými vozidly: nárazem, vymrštěním a převrhnutím těchto motorových vozidel",9,-,-,1,3,2,-,1,1,1,-,-
170,Úrazy způsobené motorovými vozidly: přejetím,19,-,4,1,-,1,1,3,4,5,-,-
170f,Ostatní a blíže neoznačené úrazy motorovými vozidly,24,-,3,7,2,4,1,4,2,-,1,-
171a,Ostatní úrazy při pouliční dopravě:srážka s ostatními vozidly,1,-,-,-,-,-,-,-,1,-,-,-
171b,"Ostatní úrazy při pouliční dopravě: nárazem, vymrštěním,  převrhnutím těchto motrových vozidel",13,-,1,2,4,1,2,2,1,-,-,-
171c,Ostatní úrazy při pouliční dopravě: přejetím těmito vozidly,5,-,3,-,1,-,-,-,1,-,-,-
172a,Úrazy při dopravě po vodě: utonutím pádem do vody a potopením,-,-,-,-,-,-,-,-,-,-,-,-
172b,Úrazy při dopravě po vodě: ostatní úrazy,-,-,-,-,-,-,-,-,-,-,-,-
173a,Úrazy při dopravě vzduchem: letadly,-,-,-,-,-,-,-,-,-,-,-,-
173b,Úrazy při dopravě vzduchem:  kluzáky,-,-,-,-,-,-,-,-,-,-,-,-
173c,Úrazy při dopravě vzduchem:  při seskoku padákem,-,-,-,-,-,-,-,-,-,-,-,-
173d,Úrazy při dopravě vzduchem:  jiné letecké úrazy,-,-,-,-,-,-,-,-,-,-,-,-
174,Úrazy v dolech a lomech,3,-,-,-,1,-,-,-,1,1,-,-
175a,Úrazy při zemědělství a lesnictví: hospodářskými stroji nebo vozidly (nikoli při dopravě silniční,4,-,-,-,-,1,-,2,1,-,-,-
175b,Úrazy při zemědělství a lesnictví:  jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-
175c,Úrazy při zemědělství a lesnictví:  ostaními zvířaty,3,-,-,-,-,-,-,1,1,1,-,-
175d,Úrazy při zemědělství a lesnictví:  ostatní úrazy,6,-,-,-,-,1,-,1,2,2,-,-
176,Úrazy způsobené stroji,2,-,2,-,-,-,-,-,-,-,-,-
177a,Otrava potravinami: otrava houbami,22,-,3,3,3,1,1,9,1,1,-,-
177b,Otrava ostatními potravinami,3,-,-,1,-,-,-,-,1,1,-,-
178a,Vdechování jedovatých plynů: svítiplynu,3,-,-,-,-,-,-,-,-,1,2,-
178b,Vdechování ostatních jedovatých plynů,27,-,1,3,5,1,2,4,4,2,5,-
179,"Jiné prudké otravy, vyjma otravy plynem",20,-,2,3,3,3,2,2,2,2,1,-
180,Následky požáru,1,-,-,-,-,-,-,-,-,-,1,-
181,Popálení a opaření (nikoliv při požáru),122,9,32,3,12,8,5,11,6,12,24,-
182,Mechanické zadušení,7,4,-,-,-,-,-,1,-,1,1,-
183,Utopení,58,-,21,10,10,1,3,3,4,2,4,-
184,Poranění střelnými zbraněmi,15,-,-,1,3,3,5,3,-,-,-,-
185,Poranění nástroji řeznými a bodnými,2,-,-,1,-,-,-,-,1,-,-,-
186a,"Poranění pádem, rozdrcením, sřícením: pádem s výše",18,-,1,-,1,1,1,1,4,6,3,-
186b,"Poranění pádem, rozdrcením, sřícením: rozdrcením",2,-,-,-,-,-,-,-,2,-,-,-
186c,"Poranění pádem, rozdrcením, sřícením: upadnutím, uklouznutím",29,-,1,1,-,1,-,4,4,5,13,-
187,Poranění při živelných pohromách,-,-,-,-,-,-,-,-,-,-,-,-
188,Poranění způsobená zvířaty,1,-,-,-,-,-,1,-,-,-,-,-
189,"Vyhladovění, žízeň",-,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,4,-,-,-,-,-,-,1,1,1,1,-
191,Neobvyklé teplo,2,-,-,-,1,-,-,-,-,1,-,-
192,Poranění bleskem,12,-,-,1,1,1,4,-,3,2,-,-
193,Úrazy způsobené elektrickým proudem,6,-,2,-,-,-,3,-,1,-,-,-
194,Úrazy způsobené jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-
195,Jiné úrazy nebo zevní příčiny,165,-,7,7,11,6,14,20,33,30,37,-
196,Úmrtí vojenských osob při válečných akcích,-,-,-,-,-,-,-,-,-,-,-,-
197,Úmrtí civilních osob při válečných akcích,620,9,24,61,130,87,105,91,55,37,20,1
198a,Soudní poprava,94,-,-,-,7,18,33,28,5,1,-,2
198b,Smrt ve vězení a následky vězení,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVIII,Neurčité příčiny smrti,243,6,6,8,7,9,12,26,83,49,37,-
199,Náhlá smrt,13,-,1,-,-,-,1,-,6,2,3,-
200a,"Blíže neoznačené nebo nedostatečně určené příčiny: mrtvice, srdeční slabost, ochrnutí srdce bez jakéhokoliv vysvětlujícího údaje",125,1,1,2,6,2,7,17,36,33,20,-
200b,Blíže neoznačené nebo nedostatečně určené příčiny: ostatní nedostatečně udané příčiny,104,5,4,6,1,6,4,9,41,14,14,-
200c,"Blíže neoznačené nebo nedostatečně určené příčiny: nalezené mrtvoly, u nichž je příčina smrti neznáma",1,-,-,-,-,1,-,-,-,-,-,-
